Ensembl_Gene_ID	Pfam
ENSG00000127515	PF13853.1
ENSG00000198657	PF13853.1
ENSG00000184155	PF13853.1
ENSG00000124657	PF13853.1
ENSG00000169488	PF13853.1
ENSG00000196248	PF13853.1
ENSG00000242180	PF13853.1
ENSG00000232382	PF13853.1
ENSG00000171054	PF13853.1
ENSG00000182634	PF13853.1
ENSG00000197403	PF13853.1
ENSG00000176231	PF13853.1
ENSG00000182652	PF13853.1
ENSG00000236981	PF13853.1
ENSG00000172199	PF13853.1
ENSG00000162727	PF13853.1
ENSG00000149133	PF13853.1
ENSG00000181935	PF13853.1
ENSG00000187612	PF13853.1
ENSG00000196832	PF13853.1
ENSG00000112461	PF13853.1
ENSG00000243729	PF13853.1
ENSG00000227137	PF13853.1
ENSG00000233046	PF13853.1
ENSG00000243441	PF13853.1
ENSG00000255582	PF13853.1
ENSG00000170683	PF13853.1
ENSG00000229412	PF13853.1
ENSG00000204689	PF13853.1
ENSG00000224234	PF13853.1
ENSG00000206474	PF13853.1
ENSG00000230505	PF13853.1
ENSG00000232397	PF13853.1
ENSG00000165762	PF13853.1
ENSG00000196240	PF13853.1
ENSG00000186092	PF13853.1
ENSG00000233412	PF13853.1
ENSG00000170803	PF13853.1
ENSG00000221933	PF13853.1
ENSG00000241128	PF13853.1
ENSG00000174667	PF13853.1
ENSG00000203663	PF13853.1
ENSG00000206536	PF13853.1
ENSG00000174937	PF13853.1
ENSG00000176922	PF00001.16
ENSG00000181803	PF13853.1
ENSG00000171459	PF13853.1
ENSG00000196242	PF13853.1
ENSG00000172742	PF13853.1
ENSG00000196578	PF13853.1
ENSG00000237521	PF13853.1
ENSG00000198601	PF13853.1
ENSG00000181963	PF13853.1
ENSG00000148215	PF13853.1
ENSG00000177693	PF13853.1
ENSG00000171936	PF13853.1
ENSG00000197532	PF13853.1
ENSG00000255307	PF13853.1
ENSG00000175485	PF13853.1
ENSG00000184394	PF13853.1
ENSG00000175398	PF13853.1
ENSG00000181733	PF13853.1
ENSG00000263211	PF13853.1
ENSG00000204701	PF13853.1
ENSG00000206522	PF13853.1
ENSG00000232178	PF13853.1
ENSG00000233618	PF13853.1
ENSG00000229866	PF13853.1
ENSG00000226271	PF13853.1
ENSG00000233636	PF13853.1
ENSG00000176246	PF13853.1
ENSG00000198877	PF13853.1
ENSG00000176230	PF13853.1
ENSG00000176879	PF13853.1
ENSG00000150261	PF13853.1
ENSG00000263328	PF13853.1
ENSG00000174914	PF13853.1
ENSG00000180708	PF13853.1
ENSG00000169484	PF13853.1
ENSG00000205329	PF13853.1
ENSG00000186117	PF13853.1
ENSG00000230301	PF13853.1
ENSG00000172154	PF13853.1
ENSG00000236032	PF13853.1
ENSG00000172519	PF13853.1
ENSG00000181927	PF13853.1
ENSG00000197233	PF13853.1
ENSG00000186119	PF13853.1
ENSG00000181718	PF13853.1
ENSG00000262851	PF13853.1
ENSG00000176281	PF13853.1
ENSG00000176219	PF13853.1
ENSG00000184022	PF13853.1
ENSG00000174970	PF13853.1
ENSG00000181939	PF13853.1
ENSG00000170782	PF13853.1
ENSG00000181903	PF13853.1
ENSG00000197263	PF13853.1
ENSG00000172769	PF13853.1
ENSG00000204246	PF13853.1
ENSG00000183303	PF13853.1
ENSG00000179468	PF13853.1
ENSG00000261686	PF13853.1
ENSG00000231861	PF13853.1
ENSG00000196119	PF13853.1
ENSG00000172464	PF13853.1
ENSG00000172324	PF13853.1
ENSG00000180475	PF13853.1
ENSG00000232268	PF00001.16
ENSG00000186943	PF13853.1
ENSG00000226288	PF00001.16
ENSG00000176294	PF13853.1
ENSG00000176798	PF13853.1
ENSG00000176904	PF13853.1
ENSG00000130538	PF13853.1
ENSG00000172459	PF13853.1
ENSG00000176198	PF13853.1
ENSG00000176742	PF00001.16
ENSG00000183313	PF13853.1
ENSG00000182334	PF13853.1
ENSG00000170920	PF13853.1
ENSG00000205328	PF13853.1
ENSG00000172289	PF13853.1
ENSG00000181074	PF13853.1
ENSG00000150269	PF13853.1
ENSG00000112462	PF13853.1
ENSG00000204692	PF13853.1
ENSG00000224487	PF13853.1
ENSG00000242022	PF13853.1
ENSG00000197428	PF13853.1
ENSG00000181023	PF13853.1
ENSG00000206512	PF13853.1
ENSG00000206467	PF13853.1
ENSG00000204657	PF13853.1
ENSG00000229680	PF13853.1
ENSG00000229185	PF13853.1
ENSG00000224319	PF13853.1
ENSG00000227044	PF13853.1
ENSG00000180919	PF13853.1
ENSG00000221989	PF13853.1
ENSG00000176925	PF13853.1
ENSG00000243896	PF13853.1
ENSG00000171561	PF00001.16
ENSG00000221813	PF13853.1
ENSG00000182974	PF13853.1
ENSG00000198128	PF13853.1
ENSG00000170605	PF13853.1
ENSG00000197938	PF13853.1
ENSG00000176555	PF13853.1
ENSG00000187857	PF13853.1
ENSG00000221910	PF13853.1
ENSG00000181273	PF13853.1
ENSG00000171944	PF13853.1
ENSG00000177151	PF13853.1
ENSG00000196778	PF13853.1
ENSG00000187918	PF13853.1
ENSG00000176893	PF13853.1
ENSG00000188324	PF13853.1
ENSG00000166363	PF13853.1
ENSG00000181958	PF13853.1
ENSG00000180785	PF00001.16
ENSG00000184698	PF13853.1
ENSG00000188000	PF13853.1
ENSG00000171014	PF13853.1
ENSG00000221836	PF13853.1
ENSG00000181693	PF13853.1
ENSG00000262611	PF13853.1
ENSG00000204293	PF13853.1
ENSG00000172365	PF13853.1
ENSG00000255800	PF13853.1
ENSG00000257019	PF13853.1
ENSG00000171180	PF13853.1
ENSG00000221858	PF13853.1
ENSG00000184881	PF13853.1
ENSG00000171942	PF13853.1
ENSG00000122718	PF13853.1
ENSG00000172188	PF13853.1
ENSG00000170790	PF13853.1
ENSG00000197454	PF13853.1
ENSG00000165202	PF13853.1
ENSG00000153230	PF13853.1
ENSG00000136834	PF13853.1
ENSG00000172146	PF13853.1
ENSG00000177535	PF13853.1
ENSG00000184166	PF13853.1
ENSG00000180090	PF13853.1
ENSG00000168828	PF13853.1
ENSG00000186723	PF13853.1
ENSG00000198965	PF13853.1
ENSG00000182783	PF13853.1
ENSG00000172772	PF13853.1
ENSG00000171501	PF13853.1
ENSG00000184321	PF13853.1
ENSG00000184933	PF13853.1
ENSG00000205409	PF13853.1
ENSG00000181001	PF13853.1
ENSG00000196231	PF13853.1
ENSG00000204700	PF13853.1
ENSG00000231676	PF13853.1
ENSG00000226000	PF13853.1
ENSG00000232945	PF13853.1
ENSG00000234746	PF13853.1
ENSG00000225550	PF13853.1
ENSG00000226347	PF13853.1
ENSG00000197790	PF13853.1
ENSG00000176269	PF13853.1
ENSG00000176787	PF13853.1
ENSG00000196266	PF13853.1
ENSG00000176299	PF13853.1
ENSG00000205030	PF13853.1
ENSG00000204690	PF13853.1
ENSG00000168787	PF13853.1
ENSG00000233481	PF13853.1
ENSG00000235966	PF13853.1
ENSG00000172487	PF13853.1
ENSG00000262796	PF13853.1
ENSG00000159961	PF13853.1
ENSG00000238243	PF13853.1
ENSG00000228198	PF13853.1
ENSG00000197125	PF13853.1
ENSG00000204688	PF13853.1
ENSG00000206471	PF13853.1
ENSG00000206516	PF13853.1
ENSG00000232984	PF13853.1
ENSG00000224395	PF13853.1
ENSG00000229125	PF13853.1
ENSG00000229408	PF13853.1
ENSG00000235132	PF13853.1
ENSG00000176239	PF13853.1
ENSG00000179055	PF13853.1
ENSG00000174982	PF13853.1
ENSG00000198283	PF13853.1
ENSG00000197887	PF13853.1
ENSG00000177186	PF13853.1
ENSG00000127530	PF13853.1
ENSG00000184954	PF13853.1
ENSG00000174339	PF13853.1
ENSG00000168158	PF13853.1
ENSG00000171484	PF13853.1
ENSG00000183251	PF13853.1
ENSG00000176567	PF13853.1
ENSG00000172208	PF13853.1
ENSG00000254834	PF13853.1
ENSG00000181009	PF13853.1
ENSG00000196341	PF13853.1
ENSG00000234560	PF13853.1
ENSG00000172362	PF13853.1
ENSG00000179695	PF13853.1
ENSG00000172377	PF13853.1
ENSG00000176937	PF13853.1
ENSG00000188069	PF13853.1
ENSG00000170923	PF13853.1
ENSG00000256574	PF13853.1
ENSG00000177462	PF13853.1
ENSG00000181767	PF13853.1
ENSG00000183130	PF13853.1
ENSG00000185926	PF13853.1
ENSG00000181961	PF13853.1
ENSG00000180988	PF13853.1
ENSG00000183706	PF13853.1
ENSG00000178586	PF13853.1
ENSG00000175393	PF13853.1
ENSG00000255713	PF13853.1
ENSG00000186513	PF13853.1
ENSG00000198967	PF13853.1
ENSG00000177275	PF13853.1
ENSG00000171496	PF13853.1
ENSG00000176895	PF00001.16
ENSG00000187080	PF13853.1
ENSG00000187747	PF13853.1
ENSG00000127529	PF13853.1
ENSG00000189181	PF13853.1
ENSG00000148136	PF13853.1
ENSG00000167332	PF13853.1
ENSG00000212807	PF13853.1
ENSG00000221970	PF13853.1
ENSG00000196772	PF13853.1
ENSG00000221938	PF13853.1
ENSG00000136839	PF13853.1
ENSG00000205495	PF13853.1
ENSG00000197437	PF13853.1
ENSG00000204703	PF13853.1
ENSG00000206524	PF13853.1
ENSG00000226832	PF13853.1
ENSG00000231319	PF13853.1
ENSG00000233054	PF13853.1
ENSG00000233180	PF13853.1
ENSG00000233687	PF13853.1
ENSG00000225736	PF13853.1
ENSG00000183269	PF13853.1
ENSG00000177201	PF13853.1
ENSG00000176547	PF13853.1
ENSG00000181609	PF13853.1
ENSG00000186881	PF13853.1
ENSG00000181689	PF13853.1
ENSG00000262755	PF13853.1
ENSG00000196661	PF13853.1
ENSG00000175143	PF13853.1
ENSG00000176253	PF13853.1
ENSG00000094661	PF13853.1
ENSG00000174957	PF13853.1
ENSG00000255804	PF13853.1
ENSG00000205330	PF13853.1
ENSG00000166368	PF13853.1
ENSG00000255223	PF13853.1
ENSG00000182854	PF13853.1
ENSG00000196944	PF13853.1
ENSG00000188558	PF13853.1
ENSG00000171505	PF13853.1
ENSG00000181616	PF13853.1
ENSG00000213215	PF13853.1
ENSG00000170953	PF13853.1
ENSG00000172150	PF13853.1
ENSG00000254466	PF13853.1
ENSG00000186113	PF13853.1
ENSG00000181752	PF13853.1
ENSG00000179615	PF13853.1
ENSG00000203661	PF13853.1
ENSG00000258817	PF13853.1
ENSG00000259991	PF13853.1
ENSG00000183389	PF13853.1
ENSG00000167822	PF13853.1
ENSG00000169208	PF13853.1
ENSG00000205327	PF13853.1
ENSG00000183310	PF13853.1
ENSG00000184140	PF13853.1
ENSG00000197591	PF13853.1
ENSG00000196171	PF13853.1
ENSG00000176900	PF00001.16
ENSG00000185385	PF13853.1
ENSG00000186509	PF13853.1
ENSG00000127780	PF13853.1
ENSG00000177212	PF13853.1
ENSG00000177174	PF13853.1
ENSG00000180974	PF13853.1
ENSG00000171133	PF13853.1
ENSG00000197309	PF13853.1
ENSG00000197706	PF13853.1
ENSG00000180016	PF13853.1
ENSG00000186440	PF13853.1
ENSG00000204702	PF13853.1
ENSG00000226931	PF13853.1
ENSG00000172489	PF13853.1
ENSG00000261897	PF13853.1
ENSG00000197376	PF13853.1
ENSG00000169214	PF13853.1
ENSG00000205497	PF00001.16
ENSG00000170929	PF13853.1
ENSG00000175619	PF13853.1
ENSG00000196071	PF13853.1
ENSG00000174942	PF13853.1
ENSG00000171481	PF13853.1
ENSG00000182070	PF13853.1
ENSG00000180934	PF13853.1
ENSG00000183024	PF13853.1
ENSG00000182613	PF13853.1
ENSG00000178358	PF13853.1
ENSG00000181499	PF13853.1
ENSG00000172320	PF13853.1
ENSG00000181518	PF13853.1
ENSG00000176200	PF13853.1
ENSG00000231192	PF13853.1
ENSG00000161807	PF13853.1
ENSG00000168131	PF13853.1
ENSG00000167360	PF13853.1
ENSG00000205496	PF00001.16
ENSG00000187701	PF13853.1
ENSG00000181761	PF13853.1
ENSG00000112459	PF13853.1
ENSG00000204695	PF13853.1
ENSG00000236927	PF13853.1
ENSG00000234195	PF13853.1
ENSG00000225291	PF13853.1
ENSG00000234100	PF13853.1
ENSG00000237777	PF13853.1
ENSG00000181371	PF13853.1
ENSG00000106804	PF21309
ENSG00000160111	PF07648
ENSG00000126838	PF17791
ENSG00000166535	PF17791
ENSG00000244731	PF21145
ENSG00000236625	PF21145
ENSG00000156535	PF17791
ENSG00000125730	PF01821
ENSG00000175899	PF17791
ENSG00000124535	PF12002
ENSG00000108270	PF08164
ENSG00000161653	PF04768.8
ENSG00000059573	PF00171.17
ENSG00000021488	PF13520.1
ENSG00000099960	PF13906
ENSG00000139514	PF13906
ENSG00000103064	PF13520.1
ENSG00000103257	PF13520.1
ENSG00000130876	PF13520.1
ENSG00000003989	PF13906
ENSG00000092068	PF13520.1
ENSG00000151012	PF13520.1
ENSG00000013293	PF13906
ENSG00000155465	PF13520.1
ENSG00000164893	PF13520.1
ENSG00000165349	PF13906
ENSG00000064651	PF00324
ENSG00000074803	PF00324
ENSG00000070915	PF00324
ENSG00000166558	PF01490.13
ENSG00000139209	PF01490.13
ENSG00000186334	PF01490.13
ENSG00000123643	PF01490.13
ENSG00000111371	PF01490.13
ENSG00000134294	PF01490.13
ENSG00000177058	PF01490.13
ENSG00000017483	PF01490.13
ENSG00000103042	PF01490.13
ENSG00000139974	PF01490.13
ENSG00000109066	PF01490.13
ENSG00000101438	PF01490.13
ENSG00000157637	PF01490.13
ENSG00000180773	PF01490.13
ENSG00000169507	PF01490.13
ENSG00000186335	PF01490.13
ENSG00000188092	PF12537.3
ENSG00000264776	PF12537.3
ENSG00000117262	PF12537.3
ENSG00000264337	PF12537.3
ENSG00000138075	PF00005
ENSG00000143921	PF00005
ENSG00000172350	PF00005
ENSG00000160179	PF00005
ENSG00000118777	PF00005
ENSG00000165029	PF00005
ENSG00000198691	PF00005
ENSG00000064687	PF00005
ENSG00000154265	PF00005
ENSG00000154262	PF00005
ENSG00000179869	PF00005
ENSG00000154263	PF00005
ENSG00000144452	PF00005
ENSG00000167972	PF00005
ENSG00000141338	PF00005
ENSG00000107331	PF00005
ENSG00000154258	PF00005
ENSG00000103222	PF00005
ENSG00000073734	PF00005
