NP_570602.2	A1BG
NP_004309.2	ASPH
NP_446464.1	ASS1
NP_004310.1	ASTN1
NP_000479.1	SERPINC1
NP_008816.3	ZFHX3
NP_005162.1	ATF1
NP_001665.1	ATF3
NP_877962.1	ATF4
NP_004035.2	ATIC
NP_000042.3	ATM
NP_001036146.1	RERE
NP_005163.1	ATOH1
NP_004036.1	ATOX1
NP_000692.2	ATP1A1
NP_000693.1	ATP1A2
NP_689509.1	ATP1A3
NP_001667.4	ATP12A
NP_653300.2	ATP1A4
NP_001668.1	ATP1B1
NP_001669.3	ATP1B2
NP_001670.1	ATP1B3
NP_001671.2	FXYD2
NP_004311.1	ATP2A1
NP_733765.1	ATP2A2
NP_005164.2	ATP2A3
NP_001353450.1	ATP2B1
NP_001001331.1	ATP2B2
NP_001001344.1	ATP2B3
NP_001675.3	ATP2B4
NP_000695.2	ATP4A
NP_000696.1	ATP4B
NP_004037.1	ATP5F1A
NP_001173.2	ALDH7A1
NP_001677.2	ATP5F1B
NP_001001973.1	ATP5F1C
NP_001678.1	ATP5F1D
NP_008817.1	ATP5F1E
NP_001679.2	ATP5PB
NP_005166.1	ATP5MC1
NP_005167.3	ATP5MC2
NP_001680.1	ATP5MC3
NP_009031.1	ATP5ME
NP_001003703.1	ATP5PF
NP_001681.2	ATP6V1A
NP_001683.2	ATP6V1B1
NP_001684.2	ATP6V1B2
NP_001685.1	ATP6V0C
NP_001686.1	ATP6V1C1
NP_001687.1	ATP6V1E1
NP_004038.1	ATP6V0B
NP_569730.1	ATP6V1G2
NP_001123493.1	ATP6V0A1
NP_001174.2	ATP6AP1
NP_000043.4	ATP7A
NP_001688.1	ATP5PO
NP_000044.2	ATP7B
NP_001175.2	ATR
NP_000480.3	ATRX
NP_001230937.1	KIF1A
NP_001689.1	AUH
NP_853553.1	AUP1
NP_000481.2	AVP
NP_000697.1	AVPR1A
NP_000698.1	AVPR1B
NP_000045.1	AVPR2
NP_068713.2	AXL
NP_001176.1	AZGP1
NP_001691.1	AZU1
NP_004039.1	B2M
NP_001692.1	BAAT
NP_001177.1	BACH1
NP_116784.1	BAD
NP_004314.6	BAG1
NP_001693.2	ADGRB1
NP_001351786.1	ADGRB2
NP_001695.2	ADGRB3
NP_001179.1	BAK1
NP_001180.1	NKX3-2
NP_000456.2	BARD1
NP_620116.1	BAX
NP_078925.3	BBS1
NP_114091.4	BBS2
NP_149017.2	BBS4
NP_005495.2	BCAT1
NP_001181.2	BCAT2
NP_000046.1	BCHE
NP_000700.1	BCKDHA
NP_898871.1	BCKDHB
NP_444284.1	CCND1
NP_000624.2	BCL2
NP_004040.1	BCL2A1
NP_612815.1	BCL2L1
NP_004041.2	BCL2L2
NP_005169.2	BCL3
NP_001697.2	BCL6
NP_001019979.1	BCL7A
NP_004317.2	BCL9
NP_001183.2	TNFRSF17
NP_001185.3	HCN2
NP_001372054.1	OPN1SW
NP_004318.3	BCR
NP_001073335.1	BCS1L
NP_976059.1	BDH1
NP_000701.2	BDKRB1
NP_001366621.1	BDKRB2
NP_001700.2	BDNF
NP_001701.2	CFB
NP_001186.1	BFSP1
NP_954642.1	BGLAP
NP_001702.1	BGN
NP_001703.2	CEACAM1
NP_001704.2	BHMT
NP_001705.2	BICD1
NP_001187.1	BID
NP_001188.1	BIK
NP_001189.2	PRDM1
NP_001706.2	BLK
NP_000048.1	BLM
NP_000377.1	BLMH
NP_001707.1	CXCR5
NP_000703.2	BLVRA
NP_000704.1	BLVRB
NP_001708.3	BNC1
NP_005171.4	BMI1
NP_001190.1	BMP1
NP_006120.1	BMP1
NP_001191.1	BMP2
NP_001192.4	BMP3
NP_001193.2	BMP4
NP_066551.1	BMP5
NP_001709.1	BMP6
NP_001710.1	BMP7
NP_001711.2	BMP8B
NP_004320.2	BMPR1A
NP_001194.1	BMPR1B
NP_001195.2	BMPR2
NP_975010.1	BMX
NP_001713.2	POLR3D
NP_001196.2	BNIP1
NP_004321.3	BNIP2
NP_004043.4	BNIP3
NP_004322.1	BNIP3L
NP_115904.1	BOK
NP_001714.1	DST
NP_001361665.1	DST
NP_075555.1	FOXL2
NP_001715.1	BPGM
NP_004323.2	BPHL
NP_001716.3	BPI
NP_009225.1	BRCA1
NP_001361187.1	BRAF
NP_004324.2	BRAF
NP_000050.3	BRCA2
NP_997072.2	BRDT
NP_004917.2	ZFP36L1
NP_008818.3	ZFP36L2
NP_001718.1	BRS3
NP_001719.2	BSG
NP_004325.2	BST1
NP_004326.1	BST2
NP_001720.1	BTC
NP_001357587.1	BTD
NP_001197.1	KLF9
NP_001721.2	KLF5
NP_001032726.1	BTF3
NP_001722.1	BTG1
NP_000052.1	BTK
NP_001723.2	BTN1A1
NP_004327.1	BUB1
NP_001202.5	BUB1B
NP_004044.3	BYSL
NP_000705.2	TSPO
NP_001203.1	C1QBP
NP_000053.2	SERPING1
NP_057075.1	C1QA
NP_001365085.1	C1QB
NP_758957.2	C1QC
NP_001724.4	C1R
NP_001725.1	C1S
NP_000054.2	C2
NP_000055.2	C3
NP_004045.1	C3AR1
NP_009224.2	C4A
NP_001002029.3	C4B
NP_000706.1	C4BPA
NP_001017365.1	C4BPB
NP_004046.2	CAPN5
NP_001726.2	C5
NP_001727.2	C5AR1
NP_000056.2	C6
NP_000578.2	C7
NP_000553.1	C8A
NP_000057.3	C8B
NP_000597.2	C8G
NP_001119583.1	OSGIN2
NP_001728.1	C9
NP_037397.2	VPS51
NP_004918.1	MRPL49
NP_055020.1	ZNHIT2
NP_001575.1	MPPED2
NP_001120864.1	MYRF
NP_055021.1	TMEM258
NP_006124.1	DAGLA
NP_005883.3	FMNL1
NP_001365029.1	LDLRAD4
NP_004330.1	PTTG1IP
NP_004919.1	CFAP410
NP_006125.2	TMEM50B
NP_001037835.1	MPPED1
NP_001122303.1	CA1
NP_000058.1	CA2
NP_005172.1	CA3
NP_000708.1	CA4
NP_001730.1	CA5A
NP_001206.2	CA6
NP_005173.1	CA7
NP_004047.3	CA8
NP_001207.2	CA9
NP_001208.2	CA11
NP_001209.1	CA12
NP_001120694.1	CACNA1A
NP_000709.1	CACNA1B
NP_001161095.1	CACNA1C
NP_000710.5	CACNA1C
NP_000711.1	CACNA1D
NP_001122312.1	CACNA1D
NP_001192222.1	CACNA1E
NP_001243718.1	CACNA1F
NP_000060.2	CACNA1S
NP_001284583.1	DDR1
NP_000713.2	CACNA2D1
NP_000714.3	CACNB1
NP_963890.2	CACNB2
NP_963884.2	CACNB2
NP_000716.2	CACNB3
NP_000717.2	CACNB4
NP_000718.1	CACNG1
NP_000378.1	SLC25A20
NP_004332.2	CAD
NP_004920.1	CALB1
NP_001731.2	CALB2
NP_004048.1	S100G
NP_001732.1	CALCA
NP_000719.1	CALCB
NP_001733.1	CALCR
NP_149129.2	CALD1
NP_008819.1	CALM1
NP_001734.1	CALM2
NP_005175.2	CALM3
NP_005176.1	CALML3
NP_004334.1	CALR
NP_001210.1	CALU
NP_001735.1	CAMK4
NP_057065.2	CAMK2A
NP_001211.3	CAMK2B
NP_001308500.1	CAMK2D
NP_001354463.1	CAMK2G
NP_001736.1	CAMLG
NP_004336.4	CAMP
NP_001737.1	CANX
NP_001738.2	CAPG
NP_005177.2	CAPN1
NP_001739.3	CAPN2
NP_000061.1	CAPN3
NP_001740.1	CAPNS1
NP_055104.2	CAPN6
NP_004049.3	CAPS
NP_006126.1	CAPZA1
NP_006127.1	CAPZA2
NP_001741.4	CAST
NP_004921.1	CAPZB
NP_001014437.1	CARS1
NP_001244047.1	CASP1
NP_116764.2	CASP2
NP_004337.2	CASP3
NP_001216.1	CASP4
NP_004338.3	CASP5
NP_001217.2	CASP6
NP_001218.1	CASP7
NP_001358980.1	CASP8
NP_001220.2	CASP9
NP_116759.2	CASP10
NP_001222.3	CASQ1
NP_001223.2	CASQ2
NP_000379.3	CASR
NP_001743.1	CAT
NP_001744.2	CAV1
NP_001224.1	CAV2
NP_203123.1	CAV3
NP_001019801.3	RUNX2
NP_001745.2	RUNX1
NP_783552.1	RUNX1T1
NP_005178.4	CBFA2T3
NP_004341.1	RUNX3
NP_074036.1	CBFB
NP_001747.3	SERPINA6
NP_005179.2	CBL
NP_733762.2	CBLB
NP_004343.1	CBLN1
NP_001226.2	SERPINH1
NP_001748.1	CBR1
NP_001227.1	CBR3
NP_000062.1	CBS
NP_005884.2	CCIN
NP_004050.3	KYAT1
NP_000720.1	CCK
NP_000721.1	CCKAR
NP_795344.1	CCKBR
NP_919436.1	KRIT1
NP_001228.2	CCNA2
NP_114172.1	CCNB1
NP_005181.2	CCNC
NP_001750.1	CCND2
NP_001751.1	CCND3
NP_001229.1	CCNE1
NP_001752.2	CCNF
NP_004051.1	CCNG1
NP_004345.1	CCNG2
NP_001230.1	CCNH
NP_001231.2	CCNT1
NP_490595.1	CCNT2
NP_001753.1	CCT6A
NP_001754.2	CD1A
NP_001755.1	CD1B
NP_001756.2	CD1C
NP_001358691.1	CD1D
NP_112155.2	CD1E
NP_001758.2	CD2
NP_000723.1	CD3D
NP_000724.1	CD3E
NP_000064.1	CD3G
NP_932170.1	CD247
NP_000607.1	CD4
NP_055022.2	CD5
NP_005885.1	CD5L
NP_006716.3	CD6
NP_006128.1	CD7
NP_001759.3	CD8A
NP_004922.1	CD8B
NP_001336656.1	CD8B2
NP_001760.1	CD9
NP_000582.1	CD14
NP_001761.3	CD19
NP_690605.1	MS4A1
NP_006129.4	MS4A3
NP_001762.2	CD22
NP_001233.2	CD27
NP_006130.1	CD28
NP_005182.1	CD80
NP_787058.5	CD86
NP_001234.3	TNFRSF8
NP_001235.1	TNFSF8
NP_001763.3	CD33
NP_001236.4	SIGLEC6
NP_001020280.1	CD34
NP_001001548.1	CD36
NP_005496.4	SCARB1
NP_005497.1	SCARB2
NP_001765.1	CD37
NP_001766.2	CD38
NP_001767.3	ENTPD1
NP_982293.1	ENTPD2
NP_001238.3	ENTPD6
NP_001239.2	ENTPD3
NP_001240.1	ENTPD5
NP_001241.1	CD40
NP_000065.1	CD40LG
NP_000601.3	CD44
NP_001768.1	CD47
NP_001769.2	CD48
NP_000551.1	CD53
NP_001770.1	CD58
NP_000602.1	CD59
NP_001771.1	CD63
NP_001242.2	CD68
NP_001772.1	CD69
NP_001243.1	CD70
NP_001773.1	CD72
NP_001020330.1	CD74
NP_001774.1	CD79A
NP_000617.1	CD79B
NP_004347.1	CD81
NP_510966.1	ADGRE5
NP_004348.2	CD151
NP_001776.1	CDA
NP_001777.1	CDK1
NP_277021.2	CDK11B
NP_001351834.1	LRBA
NP_001244.1	CDC5L
NP_001779.3	SEPTIN7
NP_001245.1	CDC6
NP_001246.2	CDC20
NP_001780.2	CDC25A
NP_068659.1	CDC25B
NP_001781.2	CDC25C
NP_001247.3	CDC27
NP_004350.1	CDC34
NP_001782.1	CDC42
NP_004351.1	CDH1
NP_001783.2	CDH2
NP_001784.2	CDH3
NP_001785.2	CDH4
NP_001786.2	CDH5
NP_004923.1	CDH6
NP_004352.2	CDH7
NP_001787.2	CDH8
NP_057363.3	CDH9
NP_006718.2	CDH10
NP_001788.2	CDH11
NP_004052.2	CDH12
NP_001248.1	CDH13
NP_004924.1	CDH15
NP_004053.1	CDH16
NP_004054.3	CDH17
NP_004925.1	CDH18
NP_001789.2	CDK2
NP_001249.1	CDK3
NP_000066.1	CDK4
NP_004926.1	CDK5
NP_001138778.1	CDK6
NP_001790.1	CDK7
NP_001251.1	CDK8
NP_001252.1	CDK9
NP_000380.1	CDKN1A
NP_004055.1	CDKN1B
NP_001116102.1	CDKN1C
NP_000068.1	CDKN2A
NP_478102.2	CDKN2A
NP_004927.2	CDKN2B
NP_523240.1	CDKN2C
NP_001791.1	CDKN2D
NP_005183.2	CDKN3
NP_001792.2	CDO1
NP_001793.1	CDR2
NP_001254.2	CDS1
NP_001255.4	CDSN
NP_001794.2	CD52
NP_001795.2	CDX1
NP_001256.4	CDX2
NP_005184.1	CDX4
NP_004353.1	CLGN
NP_004354.3	CEACAM5
NP_004355.2	CEBPA
NP_005185.2	CEBPB
NP_005186.2	CEBPD
NP_001796.2	CEBPE
NP_001797.1	CEBPG
NP_001798.3	CEL
NP_001800.1	CENPA
NP_001801.1	CENPB
NP_001803.2	CENPC
NP_001804.2	CENPE
NP_057427.3	CENPF
NP_001020366.1	CES1
NP_004057.1	CETN1
NP_004335.1	CETN2
NP_004356.2	CETN3
NP_000069.2	CETP
NP_005498.1	CFL1
NP_619579.1	CFL2
NP_001805.4	CTSC
NP_000483.3	CFTR
NP_000726.1	CGA
NP_000728.1	CGB3
NP_001806.2	CEACAM3
NP_001278414.1	CEACAM7
NP_001807.2	CEACAM8
NP_001808.2	CEACAM4
NP_001258.2	CHAD
NP_001259.1	RCBTB2
NP_065574.4	CHAT
NP_001368794.1	RCC1
NP_001261.2	CHD1
NP_001262.3	CHD2
NP_001005273.1	CHD3
NP_001264.2	CHD4
NP_001809.4	AKR1C4
NP_001107594.1	CHEK1
NP_005188.2	FOXN3
NP_001266.1	CHGA
NP_001810.2	CHGB
NP_001267.2	CHI3L1
NP_003991.2	CHI3L2
NP_003456.1	CHIT1
NP_001268.2	CHKA
NP_005189.2	CHKB
NP_000381.1	CHM
NP_001368782.1	CHML
NP_001813.1	CHN1
NP_004058.1	CHN2
NP_000729.2	CHRM1
NP_001006631.1	CHRM2
NP_000072.2	LYST
NP_001362907.1	CHRM3
NP_000732.2	CHRM4
NP_036257.1	CHRM5
NP_000070.1	CHRNA1
NP_000733.2	CHRNA2
NP_000734.2	CHRNA3
NP_000735.1	CHRNA4
NP_000736.2	CHRNA5
NP_000737.1	CHRNA7
NP_000738.2	CHRNB1
NP_000739.1	CHRNB2
NP_000740.1	CHRNB3
NP_000741.1	CHRNB4
NP_000742.1	CHRND
NP_000071.1	CHRNE
NP_005190.4	CHRNG
NP_001269.3	CHUK
NP_001270.1	CIDEA
NP_001814.2	CKB
NP_001287758.1	CIRBP
NP_659508.1	CISH
NP_001272.2	TBCB
NP_001815.2	CKM
NP_001362413.1	CKMT1B
NP_001093205.1	CKMT2
NP_000073.1	ERCC8
NP_001817.1	CKS1B
NP_001818.1	CKS2
NP_004059.2	AP2M1
NP_001274.1	AP1S1
NP_004060.2	AP2S1
NP_001275.1	AP3S1
NP_001819.2	CLC
NP_001276.3	CLCA1
NP_000074.3	CLCN1
NP_004357.3	CLCN2
NP_001820.2	CLCN3
NP_001821.2	CLCN4
NP_001121370.1	CLCN5
NP_001277.2	CLCN6
NP_001278.1	CLCN7
NP_004061.3	CLCNKA
NP_000076.2	CLCNKB
NP_001822.3	CLU
NP_001279.2	CLIC1
NP_001280.3	CLIC2
NP_004062.2	CLK1
NP_001281267.1	CLK2
NP_001123500.2	CLK3
NP_000382.3	TPP1
NP_001035897.1	CLN3
NP_006484.2	CLN5
NP_001284.1	CLNS1A
NP_001823.1	CLPS
NP_001285.1	CLPTM1
NP_001824.1	CLTA
NP_009028.1	CLTB
NP_004850.1	CLTC
NP_001827.1	CMA1
NP_001286.1	CCR1
NP_847899.1	CCR3
NP_005499.1	CCR4
NP_001381712.1	CCR5
NP_113597.2	CCR6
NP_001829.1	CCR7
NP_005192.1	CCR8
NP_001287.2	ACKR2
NP_001135815.1	CMKLR1
NP_001137391.1	LTB4R
NP_000383.2	ABCC2
NP_001288.3	CNGB1
NP_001366199.1	CNGA1
NP_005131.1	CNGA2
NP_001289.1	CNGA3
NP_001032406.1	CNGA4
NP_004064.2	PLK3
NP_001290.2	CNN1
NP_004359.1	CNN2
NP_001830.1	CNN3
NP_149124.3	CNP
NP_057167.2	CNR1
NP_001832.1	CNR2
NP_000605.1	CNTF
NP_671693.1	CNTFR
NP_001834.2	CNTN1
NP_000079.2	COL1A1
NP_000080.2	COL1A2
NP_001835.3	COL2A1
NP_000081.2	COL3A1
NP_001836.3	COL4A1
NP_001837.2	COL4A2
NP_000082.2	COL4A3
NP_000083.3	COL4A4
NP_203699.1	COL4A5
NP_378667.1	COL4A6
NP_000084.3	COL5A1
NP_000384.2	COL5A2
NP_001839.2	COL6A1
NP_001840.3	COL6A2
NP_478054.2	COL6A2
NP_004360.2	COL6A3
NP_000085.1	COL7A1
NP_065084.2	COL8A1
NP_005193.1	COL8A2
NP_001842.3	COL9A1
NP_001843.1	COL9A2
NP_001844.3	COL9A3
NP_000484.2	COL10A1
NP_001845.3	COL11A1
NP_542411.2	COL11A2
NP_004361.3	COL12A1
NP_001355811.1	COL13A1
NP_001846.3	COL15A1
NP_001847.3	COL16A1
NP_000485.3	COL17A1
NP_001849.2	COL19A1
NP_000086.2	COMP
NP_000745.1	COMT
NP_004362.2	COPA
NP_001137533.1	COPB1
NP_001291.3	KLF6
NP_001850.1	SLC31A1
NP_001851.1	SLC31A2
NP_001293.3	CORT
NP_005195.2	MAP3K8
NP_001852.1	COX4I1
NP_001853.2	COX5B
NP_004364.2	COX6A1
NP_005196.1	COX6A2
NP_001854.1	COX6B1
NP_004365.1	COX6C
NP_001855.1	COX7A1
NP_001353222.1	COX7A2
NP_001857.1	COX7B
NP_001858.1	COX7C
NP_004065.1	COX8A
NP_001294.2	COX10
NP_004366.1	COX11
NP_510870.1	COX15
NP_000087.2	CP
NP_001859.1	CPA1
NP_001860.2	CPA2
NP_001861.2	CPA3
NP_001862.2	CPB1
NP_001863.3	CPB2
NP_001295.2	CPD
NP_001864.1	CPE
NP_001296.1	CLDN4
NP_001297.1	CLDN3
NP_001298.3	CLDN7
NP_938079.1	CPM
NP_001299.1	CPN1
NP_001073982.3	CPN2
NP_000088.3	CPOX
NP_001866.2	CPS1
NP_001867.2	CPT1A
NP_689452.1	CPT1B
NP_000089.1	CPT2
NP_000642.3	CR1
NP_783641.1	CR1L
NP_001006659.1	CR2
NP_004369.1	CRABP1
NP_001869.1	CRABP2
NP_000746.3	CRAT
NP_004370.1	CREB1
NP_001871.2	ATF2
NP_004371.2	CREBBP
NP_004372.3	ATF6B
NP_001301.1	CREBL2
NP_898829.1	CREM
NP_000747.1	CRH
NP_001873.2	CRHBP
NP_004373.2	CRHR1
NP_001874.2	CRHR2
NP_001302.1	CRIP1
NP_001303.1	CRIP2
NP_058431.2	CRK
NP_005198.1	CRKL
NP_001014809.1	CRMP1
NP_000558.2	CRP
NP_001875.1	HAPLN1
NP_000545.1	CRX
NP_004066.1	CRY1
NP_066940.3	CRY2
NP_000385.1	CRYAA
NP_001276737.1	CRYAB
NP_005199.2	CRYBA1
NP_476434.1	CRYBA2
NP_001877.1	CRYBA4
NP_001878.1	CRYBB1
NP_000487.1	CRYBB2
NP_004067.1	CRYBB3
NP_055432.2	CRYGA
NP_005201.2	CRYGB
NP_066269.1	CRYGC
NP_008822.2	CRYGD
NP_060011.1	CRYGS
NP_001363185.1	CRYM
NP_001880.2	CRYZ
NP_004068.2	CS
NP_620581.1	MAPK14
NP_001307.2	CSE1L
NP_000748.4	CSF1
NP_001275634.1	CSF1R
NP_000749.2	CSF2
NP_758448.1	CSF2RA
NP_000386.1	CSF2RB
NP_757373.1	CSF3
NP_000751.1	CSF3R
NP_001308.1	CSH1
NP_066271.1	CSH2
NP_072101.1	CSHL1
NP_004374.1	CSK
NP_001881.1	CSN1S1
