ensembl_gene_id,refseq_ids,uniprot_ids,gen_symbol,ensembl_prot_id,uniprot_ensembl_id,gene_age
ENSG00000196961,NP_570603.2,O95782,AP2A1,ENSP00000346246.4,O95782,645
ENSG00000183020,NP_036437.1,O94973,AP2A2,ENSP00000413234.3,O94973,4290
ENSG00000100280,NP_001118.3,Q10567,AP1B1,ENSP00000350199.2,Q10567,4290
ENSG00000006125,NP_001025177.1,P63010,AP2B1,ENSP00000483185.1,P63010,680
ENSG00000166747,NP_001119.3,O43747,AP1G1,ENSP00000299980.4,O43747,4290
ENSG00000106624,NP_001120.3,Q8IUX7,AEBP1,ENSP00000223357.3,Q8IUX7,544
ENSG00000104964,NP_001121.2,Q08117,TLE5,ENSP00000317537.4,Q08117,544
ENSG00000124812,NP_001122.2,P54107,CRISP1,ENSP00000338276.4,P54107,680
ENSG00000079557,NP_001124.1,P43652,AFM,ENSP00000226355.3,P43652,454
ENSG00000081051,NP_001125.1,P02771,AFP,ENSP00000379138.2,P02771,454
ENSG00000038002,NP_000018.2,P20933,AGA,ENSP00000264595.2,P20933,987
ENSG00000157766,NP_001356197.1,H0YMF1,ACAN,ENSP00000453581.2,H0YMF1,645
ENSG00000204305,NP_001127.1,Q15109,AGER,ENSP00000364217.4,Q15109,244
ENSG00000162688,NP_000633.2,P35573,AGL,ENSP00000355106.3,P35573,1488
ENSG00000159723,NP_001129.1,O00253,AGRP,ENSP00000290953.3,O00253,544
ENSG00000101384,NP_000205.1,P78504,JAG1,ENSP00000254958.4,P78504,645
ENSG00000135744,NP_001371408.1,P01019,AGT,ENSP00000355627.5,P01019,544
ENSG00000144891,NP_000676.1,P30556,AGTR1,ENSP00000273430.3,P30556,645
ENSG00000180772,NP_000677.2,P50052,AGTR2,ENSP00000360973.4,P50052,454
ENSG00000134817,NP_005152.1,P35414,APLNR,ENSP00000475344.1,P35414,454
ENSG00000172482,NP_000021.1,P21549,AGXT,ENSP00000302620.3,P21549,4290
ENSG00000169297,NP_000466.2,P51843,NR0B1,ENSP00000368253.4,P51843,680
ENSG00000101444,NP_000678.1,P23526,AHCY,ENSP00000217426.2,P23526,4290
ENSG00000106546,NP_001612.1,P35869,AHR,ENSP00000242057.4,P35869,950
ENSG00000145192,NP_001613.2,P02765,AHSG,ENSP00000393887.2,P02765,544
ENSG00000204472,NP_001614.3,P55008,AIF1,ENSP00000365227.3,P55008,645
ENSG00000112297,NP_001358171.1,A0A0J9YWL0,CRYBG1,ENSP00000488010.2,A0A0J9YWL0,645
ENSG00000106992,NP_000467.1,P00568,AK1,ENSP00000494600.1,P00568,680
ENSG00000004455,NP_001616.1,P54819,AK2,ENSP00000499935.1,P54819,1714
ENSG00000162433,NP_037542.1,P27144,AK4,ENSP00000322175.7,P27144,454
ENSG00000142208,NP_001369359.1,P31749,AKT1,ENSP00000497822.1,P31749,680
ENSG00000105221,NP_001617.1,P31751,AKT2,ENSP00000375892.2,P31751,544
ENSG00000148218,NP_000022.3,P13716,ALAD,ENSP00000386284.3,P13716,1488
ENSG00000023330,NP_000679.1,P13196,ALAS1,ENSP00000418779.1,P13196,4290
ENSG00000158578,NP_000023.2,P22557,ALAS2,ENSP00000497236.1,P22557,4290
ENSG00000163631,NP_000468.1,P02768,ALB,ENSP00000295897.4,P02768,382
ENSG00000170017,NP_001618.2,Q13740,ALCAM,ENSP00000305988.5,Q13740,544
ENSG00000101986,NP_000024.2,P33897,ABCD1,ENSP00000218104.3,P33897,1064
ENSG00000165092,NP_000680.2,P00352,ALDH1A1,ENSP00000297785.3,P00352,4290
ENSG00000111275,NP_000681.2,P05091,ALDH2,ENSP00000261733.2,P05091,886
ENSG00000108602,NP_000682.3,P30838,ALDH3A1,ENSP00000225740.6,P30838,454
ENSG00000137124,NP_000683.3,P30837,ALDH1B1,ENSP00000366927.3,P30837,382
ENSG00000184254,NP_000684.2,P47895,ALDH1A3,ENSP00000332256.5,P47895,680
ENSG00000006534,NP_000685.1,P43353,ALDH3B1,ENSP00000473990.2,P43353,93
ENSG00000132746,NP_001380331.1,P48448,ALDH3B2,ENSP00000501254.1,P48448,1488
ENSG00000143149,NP_000687.3,P49189,ALDH9A1,ENSP00000346827.4,P49189,4290
ENSG00000072210,NP_000373.1,P51648,ALDH3A2,ENSP00000176643.6,P51648,1488
ENSG00000173208,NP_005155.1,Q9UBJ2,ABCD2,ENSP00000310688.3,Q9UBJ2,1064
ENSG00000149925,NP_001230106.1,P04075,ALDOA,ENSP00000496166.1,P04075,1064
ENSG00000136872,NP_000026.2,P05062,ALDOB,ENSP00000497767.1,P05062,1064
ENSG00000109107,NP_005156.1,P09972,ALDOC,ENSP00000226253.4,P09972,1064
ENSG00000085662,NP_001619.1,P15121,AKR1B1,ENSP00000285930.3,P15121,4290
ENSG00000171094,NP_004295.2,Q9UM73,ALK,ENSP00000373700.3,Q9UM73,544
ENSG00000108839,NP_000688.2,P18054,ALOX12,ENSP00000251535.6,P18054,645
ENSG00000012779,NP_000689.1,P09917,ALOX5,ENSP00000363512.2,P09917,645
ENSG00000132965,NP_001620.2,P20292,ALOX5AP,ENSP00000369858.3,P20292,645
ENSG00000179477,NP_001130.1,O75342,ALOX12B,ENSP00000497784.1,O75342,382
ENSG00000161905,NP_001131.3,P16050,ALOX15,ENSP00000293761.3,P16050,987
ENSG00000179593,NP_001132.2,O15296,ALOX15B,ENSP00000369530.4,O15296,987
ENSG00000163295,NP_001622.2,P09923,ALPI,ENSP00000295463.3,P09923,1488
ENSG00000162551,NP_000469.3,P05186,ALPL,ENSP00000363973.3,P05186,1488
ENSG00000163283,NP_001623.3,P05187,ALPP,ENSP00000375881.2,P05187,1488
ENSG00000163286,NP_112603.2,P10696,ALPG,ENSP00000295453.3,P10696,1488
ENSG00000156150,NP_006483.2,O95076,ALX3,ENSP00000497310.1,O95076,454
ENSG00000178522,NP_057603.1,Q9NP70,AMBN,ENSP00000313809.6,Q9NP70,382
ENSG00000106927,NP_001624.1,P02760,AMBP,ENSP00000265132.3,P02760,987
ENSG00000123505,NP_001625.2,P17707,AMD1,ENSP00000357880.3,P17707,1714
ENSG00000125363,NP_001133.1,Q99217,AMELX,ENSP00000370090.3,Q99217,244
ENSG00000099721,NP_001134.1,Q99218,AMELY,ENSP00000498344.1,Q99218,8
ENSG00000159461,NP_001135.3,Q9UKV5,AMFR,ENSP00000290649.5,Q9UKV5,987
ENSG00000104899,NP_000470.3,P03971,AMH,ENSP00000221496.2,P03971,544
ENSG00000135409,NP_065434.1,Q16671,AMHR2,ENSP00000257863.3,Q16671,987
ENSG00000116748,NP_000027.3,P23109,AMPD1,ENSP00000430075.3,P23109,1714
ENSG00000116337,NP_001355738.1,A0A5F9UK94,AMPD2,ENSP00000436541.2,A0A5F9UK94,1714
ENSG00000133805,NP_001020560.1,Q01432,AMPD3,ENSP00000379801.2,Q01432,1714
ENSG00000078053,NP_001626.1,P49418,AMPH,ENSP00000348602.2,P49418,1488
ENSG00000136717,NP_647593.1,O00499,BIN1,ENSP00000316779.5,O00499,1488
ENSG00000145020,NP_000472.2,P48728,AMT,ENSP00000273588.3,P48728,4290
ENSG00000237763,NP_004029.2,P0DUB6,AMY1A,ENSP00000359100.4,P0DUB6,544
ENSG00000174876,NP_001008219.1,P0DTE7,AMY1B,ENSP00000330484.5,P0DTE7,544
ENSG00000187733,NP_001008220.1,P0DTE8,AMY1C,ENSP00000481450.2,P0DTE8,544
ENSG00000243480,NP_000690.1,P04746,AMY2A,ENSP00000397582.2,P04746,544
ENSG00000240038,NP_001374366.1,P19961,AMY2B,ENSP00000507176.1,P19961,544
ENSG00000214274,NP_001091046.1,P03950,ANG,ENSP00000381077.4,P03950,12
ENSG00000154188,NP_001137.2,Q15389,ANGPT1,ENSP00000428340.1,Q15389,645
ENSG00000091879,NP_001112359.1,O15123,ANGPT2,ENSP00000486858.2,O15123,645
ENSG00000029534,NP_000028.3,P16157,ANK1,ENSP00000289734.8,P16157,987
ENSG00000145362,NP_001139.3,Q01484,ANK2,ENSP00000349588.4,Q01484,645
ENSG00000151150,NP_066267.2,Q12955,ANK3,ENSP00000280772.1,Q12955,645
ENSG00000166825,NP_001141.2,P15144,ANPEP,ENSP00000300060.6,P15144,950
ENSG00000151729,NP_001142.2,P12235,SLC25A4,ENSP00000281456.5,P12235,645
ENSG00000005022,NP_001143.2,P05141,SLC25A5,ENSP00000360671.4,P05141,382
ENSG00000169100,NP_001627.2,P12236,SLC25A6,ENSP00000370808.5,P12236,55
ENSG00000135046,NP_000691.1,P04083,ANXA1,ENSP00000257497.6,P04083,645
ENSG00000182718,NP_004030.1,P07355,ANXA2,ENSP00000387545.3,P07355,645
ENSG00000138772,NP_005130.1,P12429,ANXA3,ENSP00000264908.6,P12429,544
ENSG00000196975,NP_001144.1,P09525,ANXA4,ENSP00000377833.4,P09525,645
ENSG00000164111,NP_001145.1,P08758,ANXA5,ENSP00000296511.5,P08758,645
ENSG00000197043,NP_001146.2,P08133,ANXA6,ENSP00000346550.5,P08133,544
ENSG00000138279,NP_001147.1,P20073,ANXA7,ENSP00000362012.4,P20073,645
ENSG00000122359,NP_665875.1,P50995,ANXA11,ENSP00000404412.2,P50995,645
ENSG00000104537,NP_004297.2,P27216,ANXA13,ENSP00000390809.1,P27216,950
ENSG00000136250,NP_001628.1,P28039,AOAH,ENSP00000483783.1,P28039,382
ENSG00000131480,NP_033720.2,O75106,AOC2,ENSP00000253799.2,O75106,645
ENSG00000138356,NP_001150.3,Q06278,AOX1,ENSP00000363832.2,Q06278,454
ENSG00000120868,NP_863651.1,O14727,APAF1,ENSP00000448165.2,O14727,645
ENSG00000164978,NP_001152.1,P50583,NUDT2,ENSP00000368455.1,P50583,645
ENSG00000175336,NP_001629.1,Q13790,APOF,ENSP00000381250.3,Q13790,454
ENSG00000107282,NP_001154.2,Q02410,APBA1,ENSP00000265381.3,Q02410,645
ENSG00000034053,NP_001340717.1,Q99767,APBA2,ENSP00000507394.1,Q99767,544
ENSG00000166313,NP_001155.1,O00213,APBB1,ENSP00000477213.1,O00213,645
ENSG00000163697,NP_004298.1,Q92870,APBB2,ENSP00000427211.1,Q92870,544
ENSG00000134982,NP_000029.2,P25054,APC,ENSP00000257430.4,P25054,987
ENSG00000132703,NP_001630.1,P02743,APCS,ENSP00000255040.2,P02743,544
ENSG00000160224,NP_000374.1,O43918,AIRE,ENSP00000291582.5,O43918,544
ENSG00000164062,NP_001631.3,P13798,APEH,ENSP00000296456.5,P13798,1488
ENSG00000100823,NP_001632.2,P27695,APEX1,ENSP00000216714.3,P27695,4290
ENSG00000110330,NP_001157.1,Q13490,BIRC2,ENSP00000227758.2,Q13490,680
ENSG00000023445,NP_001156.1,Q13489,BIRC3,ENSP00000263464.4,Q13489,680
ENSG00000101966,NP_001158.2,P98170,XIAP,ENSP00000360242.3,P98170,886
ENSG00000089685,NP_001159.2,A0A0B4J1S3,BIRC5,ENSP00000324180.4,A0A0B4J1S3,680
ENSG00000105290,NP_001019978.1,P51693,APLP1,ENSP00000221891.4,P51693,454
ENSG00000084234,NP_001135748.1,Q06481,APLP2,ENSP00000345444.5,Q06481,645
ENSG00000118137,NP_000030.1,P02647,APOA1,ENSP00000236850.3,P02647,544
ENSG00000158874,NP_001634.1,P02652,APOA2,ENSP00000356969.3,P02652,168
ENSG00000110244,NP_000473.2,P06727,APOA4,ENSP00000350425.3,P06727,544
ENSG00000084674,NP_000375.3,P04114,APOB,ENSP00000233242.1,P04114,645
ENSG00000111701,NP_001635.2,P41238,APOBEC1,ENSP00000229304.4,P41238,332
ENSG00000130208,NP_001636.1,P02654,APOC1,ENSP00000468276.2,P02654,93
ENSG00000103375,NP_001160.2,O94778,AQP8,ENSP00000219660.5,O94778,680
ENSG00000234906,NP_000474.2,P02655,APOC2,ENSP00000252490.5,P02655,244
ENSG00000110245,NP_000031.1,P02656,APOC3,ENSP00000227667.2,P02656,168
ENSG00000267467,NP_001637.1,P55056,APOC4,ENSP00000468236.1,P55056,132
ENSG00000189058,NP_001638.1,P05090,APOD,ENSP00000345179.3,P05090,454
ENSG00000130203,NP_000032.1,P02649,APOE,ENSP00000252486.3,P02649,454
ENSG00000091583,NP_000033.2,P02749,APOH,ENSP00000205948.6,P02749,544
ENSG00000142192,NP_000475.1,P05067,APP,ENSP00000284981.4,P05067,645
ENSG00000198931,NP_000476.1,P07741,APRT,ENSP00000367615.3,P07741,950
ENSG00000142515,NP_001639.1,P07288,KLK3,ENSP00000314151.1,P07288,382
ENSG00000026103,NP_000034.1,P25445,FAS,ENSP00000498466.1,P25445,645
ENSG00000117560,NP_000630.1,P48023,FASLG,ENSP00000356694.2,P48023,680
ENSG00000146950,NP_001640.1,Q13796,SHROOM2,ENSP00000370299.3,Q13796,645
ENSG00000240583,NP_932766.1,P29972,AQP1,ENSP00000311165.4,P29972,645
ENSG00000167580,NP_000477.1,P41181,AQP2,ENSP00000199280.3,P41181,1488
ENSG00000165272,NP_004916.1,Q92482,AQP3,ENSP00000297991.4,Q92482,645
ENSG00000171885,NP_001641.1,P55087,AQP4,ENSP00000372654.4,P55087,645
ENSG00000161798,NP_001642.1,P55064,AQP5,ENSP00000293599.5,P55064,544
ENSG00000086159,NP_001643.2,Q13520,AQP6,ENSP00000320247.5,Q13520,1488
ENSG00000165269,NP_001161.1,O14520,AQP7,ENSP00000297988.1,O14520,454
ENSG00000103569,NP_066190.2,O43315,AQP9,ENSP00000219919.4,O43315,544
ENSG00000169083,NP_000035.2,P10275,AR,ENSP00000363822.3,P10275,950
ENSG00000091262,NP_001162.5,O95255,ABCC6,ENSP00000205557.7,O95255,424
ENSG00000078061,NP_001645.1,P10398,ARAF,ENSP00000366244.4,P10398,645
ENSG00000095139,NP_001646.2,P48444,ARCN1,ENSP00000264028.4,P48444,4290
ENSG00000113595,NP_001647.1,P36406,TRIM23,ENSP00000231524.9,P36406,886
ENSG00000109321,NP_001648.1,P15514,AREG,ENSP00000379097.3,P15514,454
ENSG00000143761,NP_001649.1,P84077,ARF1,ENSP00000272102.5,P84077,1488
ENSG00000134287,NP_001650.1,P61204,ARF3,ENSP00000256682.4,P61204,1488
ENSG00000168374,NP_001651.1,P18085,ARF4,ENSP00000306010.6,P18085,544
ENSG00000175906,NP_001652.2,P49703,ARL4D,ENSP00000322628.2,P49703,645
ENSG00000004059,NP_001653.1,P84085,ARF5,ENSP00000000233.5,P84085,987
ENSG00000165527,NP_001654.1,P62330,ARF6,ENSP00000298316.5,P62330,1292
ENSG00000118520,NP_000036.2,P05089,ARG1,ENSP00000357066.3,P05089,950
ENSG00000081181,NP_001163.1,P78540,ARG2,ENSP00000261783.3,P78540,950
ENSG00000067560,NP_001655.1,P61586,RHOA,ENSP00000400175.1,P61586,332
ENSG00000143878,NP_004031.1,P62745,RHOB,ENSP00000272233.4,P62745,1488
ENSG00000155366,NP_786886.1,P08134,RHOC,ENSP00000345236.8,P08134,424
ENSG00000115963,NP_005159.1,P61587,RND3,ENSP00000263895.4,P61587,645
ENSG00000177105,NP_001656.2,P84095,RHOG,ENSP00000339467.4,P84095,1488
ENSG00000175220,NP_004299.1,Q07960,ARHGAP1,ENSP00000310491.4,Q07960,987
ENSG00000089820,NP_001657.3,P98171,ARHGAP4,ENSP00000203786.8,P98171,645
ENSG00000100852,NP_001025226.1,Q13017,ARHGAP5,ENSP00000371897.1,Q13017,645
ENSG00000047648,NP_038286.2,O43182,ARHGAP6,ENSP00000338967.4,O43182,645
ENSG00000141522,NP_004300.1,P52565,ARHGDIA,ENSP00000269321.7,P52565,4290
ENSG00000111348,NP_001166.3,P52566,ARHGDIB,ENSP00000228945.4,P52566,4290
ENSG00000242173,NP_001167.2,Q99819,ARHGDIG,ENSP00000219409.3,Q99819,4290
ENSG00000168421,NP_004301.1,Q15669,RHOH,ENSP00000371219.4,Q15669,544
ENSG00000120805,NP_001168.1,P40616,ARL1,ENSP00000261636.8,P40616,4290
ENSG00000165462,NP_005160.2,O14813,PHOX2A,ENSP00000298231.5,O14813,810
ENSG00000213465,NP_001658.2,P36404,ARL2,ENSP00000246747.4,P36404,4290
ENSG00000138175,NP_004302.1,P36405,ARL3,ENSP00000260746.4,P36405,4290
ENSG00000143437,NP_001659.1,P27540,ARNT,ENSP00000351407.5,P27540,987
ENSG00000133794,NP_001284648.1,O00327,BMAL1,ENSP00000384517.1,O00327,680
ENSG00000120500,NP_004303.2,P36575,ARR3,ENSP00000311538.8,P36575,645
ENSG00000137486,NP_004032.2,P49407,ARRB1,ENSP00000409581.2,P49407,454
ENSG00000141480,NP_004304.1,P32121,ARRB2,ENSP00000269260.2,P32121,987
ENSG00000100299,NP_000478.3,A0A0C4DFZ2,ARSA,ENSP00000216124.5,A0A0C4DFZ2,680
ENSG00000113273,NP_000037.2,P15848,ARSB,ENSP00000264914.4,P15848,987
ENSG00000101846,NP_001307681.2,A0A590UJL0,STS,ENSP00000501534.1,A0A590UJL0,886
ENSG00000006756,NP_001660.2,P51689,ARSD,ENSP00000370546.1,P51689,78
ENSG00000157399,NP_000038.2,P51690,ARSL,ENSP00000370526.3,P51690,987
ENSG00000062096,NP_001188468.1,P54793,ARSF,ENSP00000370519.1,P54793,987
ENSG00000129744,NP_004305.2,P52961,ART1,ENSP00000250693.1,P52961,544
ENSG00000156219,NP_001123488.1,Q13508,ART3,ENSP00000348064.4,Q13508,544
ENSG00000111339,NP_066549.2,Q93070,ART4,ENSP00000228936.4,Q93070,132
ENSG00000099889,NP_001661.1,O00192,ARVCF,ENSP00000263207.3,O00192,645
ENSG00000104763,NP_808592.2,Q13510,ASAH1,ENSP00000490272.1,Q13510,950
ENSG00000139352,NP_004307.2,P50553,ASCL1,ENSP00000266744.3,P50553,645
