gene_id	gene_symbol	pseudo_gene_status
553	AVPR1B	0
554	AVPR2	0
558	AXL	0
563	AZGP1	1
566	AZU1	1
567	B2M	0
570	BAAT	1
571	BACH1	0
572	BAD	0
573	BAG1	1
575	ADGRB1	0
576	ADGRB2	0
577	ADGRB3	0
578	BAK1	1
579	NKX3-2	0
580	BARD1	0
581	BAX	0
582	BBS1	0
583	BBS2	0
585	BBS4	0
586	BCAT1	0
587	BCAT2	0
590	BCHE	0
593	BCKDHA	0
594	BCKDHB	0
595	CCND1	0
596	BCL2	0
597	BCL2A1	0
598	BCL2L1	0
599	BCL2L2	0
602	BCL3	0
604	BCL6	0
605	BCL7A	0
607	BCL9	1
608	TNFRSF17	0
610	HCN2	1
611	OPN1SW	0
613	BCR	1
617	BCS1L	0
622	BDH1	0
623	BDKRB1	0
624	BDKRB2	0
627	BDNF	0
629	CFB	0
631	BFSP1	0
632	BGLAP	0
633	BGN	0
634	CEACAM1	1
635	BHMT	0
636	BICD1	1
637	BID	0
638	BIK	0
639	PRDM1	0
640	BLK	0
641	BLM	0
642	BLMH	0
643	CXCR5	0
644	BLVRA	0
645	BLVRB	1
646	BNC1	0
648	BMI1	1
649	BMP1	0
650	BMP2	0
651	BMP3	0
652	BMP4	0
653	BMP5	0
654	BMP6	1
655	BMP7	0
656	BMP8B	0
657	BMPR1A	1
658	BMPR1B	0
659	BMPR2	0
660	BMX	0
661	POLR3D	1
662	BNIP1	0
663	BNIP2	0
664	BNIP3	1
665	BNIP3L	0
666	BOK	0
667	DST	0
668	FOXL2	0
669	BPGM	0
670	BPHL	0
671	BPI	0
672	BRCA1	1
673	BRAF	1
675	BRCA2	0
676	BRDT	1
677	ZFP36L1	0
678	ZFP36L2	0
680	BRS3	0
682	BSG	0
683	BST1	0
684	BST2	0
685	BTC	0
686	BTD	0
687	KLF9	0
688	KLF5	0
689	BTF3	1
694	BTG1	1
695	BTK	0
696	BTN1A1	1
699	BUB1	1
701	BUB1B	0
705	BYSL	0
706	TSPO	0
708	C1QBP	1
710	SERPING1	0
712	C1QA	0
713	C1QB	0
714	C1QC	0
715	C1R	0
716	C1S	0
717	C2	0
718	C3	1
719	C3AR1	0
720	C4A	0
721	C4B	0
722	C4BPA	1
725	C4BPB	0
726	CAPN5	0
727	C5	0
728	C5AR1	0
729	C6	0
730	C7	1
731	C8A	0
732	C8B	0
733	C8G	0
734	OSGIN2	0
735	C9	0
738	VPS51	1
740	MRPL49	1
741	ZNHIT2	0
744	MPPED2	0
745	MYRF	0
746	TMEM258	1
747	DAGLA	0
752	FMNL1	0
753	LDLRAD4	0
754	PTTG1IP	0
755	CFAP410	0
757	TMEM50B	0
758	MPPED1	0
759	CA1	0
760	CA2	0
761	CA3	0
762	CA4	0
763	CA5A	1
765	CA6	0
766	CA7	0
767	CA8	0
768	CA9	0
770	CA11	0
771	CA12	0
773	CACNA1A	0
774	CACNA1B	0
775	CACNA1C	1
776	CACNA1D	0
777	CACNA1E	0
778	CACNA1F	0
779	CACNA1S	0
780	DDR1	0
781	CACNA2D1	0
782	CACNB1	0
783	CACNB2	0
784	CACNB3	0
785	CACNB4	0
786	CACNG1	0
788	SLC25A20	1
790	CAD	0
793	CALB1	0
794	CALB2	0
795	S100G	0
796	CALCA	0
797	CALCB	1
799	CALCR	0
800	CALD1	0
801	CALM1	1
805	CALM2	1
808	CALM3	0
810	CALML3	0
811	CALR	0
813	CALU	0
814	CAMK4	0
815	CAMK2A	0
816	CAMK2B	0
817	CAMK2D	0
818	CAMK2G	0
819	CAMLG	0
820	CAMP	0
821	CANX	0
822	CAPG	0
823	CAPN1	0
824	CAPN2	0
825	CAPN3	0
826	CAPNS1	1
827	CAPN6	0
828	CAPS	0
829	CAPZA1	1
830	CAPZA2	1
831	CAST	0
832	CAPZB	1
833	CARS1	1
834	CASP1	1
835	CASP2	0
836	CASP3	1
837	CASP4	1
838	CASP5	0
839	CASP6	0
840	CASP7	0
841	CASP8	0
842	CASP9	0
843	CASP10	0
844	CASQ1	0
845	CASQ2	0
846	CASR	1
847	CAT	0
857	CAV1	0
858	CAV2	0
859	CAV3	0
860	RUNX2	0
861	RUNX1	0
862	RUNX1T1	0
863	CBFA2T3	0
864	RUNX3	0
865	CBFB	0
866	SERPINA6	1
867	CBL	0
868	CBLB	0
869	CBLN1	0
871	SERPINH1	1
873	CBR1	1
874	CBR3	0
875	CBS	0
881	CCIN	0
883	KYAT1	0
885	CCK	0
886	CCKAR	0
887	CCKBR	0
889	KRIT1	0
890	CCNA2	0
891	CCNB1	0
892	CCNC	0
894	CCND2	1
896	CCND3	1
898	CCNE1	0
899	CCNF	0
900	CCNG1	1
901	CCNG2	1
902	CCNH	1
904	CCNT1	0
905	CCNT2	1
908	CCT6A	1
909	CD1A	0
910	CD1B	0
911	CD1C	0
912	CD1D	0
913	CD1E	0
914	CD2	0
915	CD3D	0
916	CD3E	0
917	CD3G	0
919	CD247	0
920	CD4	0
921	CD5	0
922	CD5L	0
923	CD6	0
924	CD7	0
925	CD8A	0
926	CD8B	0
927	CD8B2	0
928	CD9	0
929	CD14	0
930	CD19	0
931	MS4A1	0
932	MS4A3	0
933	CD22	0
939	CD27	0
940	CD28	0
941	CD80	0
942	CD86	0
943	TNFRSF8	0
944	TNFSF8	0
945	CD33	1
946	SIGLEC6	0
947	CD34	0
948	CD36	0
949	SCARB1	1
950	SCARB2	0
951	CD37	0
952	CD38	0
953	ENTPD1	0
954	ENTPD2	0
955	ENTPD6	0
956	ENTPD3	0
957	ENTPD5	0
958	CD40	0
959	CD40LG	0
960	CD44	0
961	CD47	0
962	CD48	0
963	CD53	1
965	CD58	0
966	CD59	0
967	CD63	0
968	CD68	0
969	CD69	0
970	CD70	0
971	CD72	0
972	CD74	0
973	CD79A	0
974	CD79B	0
975	CD81	0
976	ADGRE5	0
977	CD151	0
978	CDA	0
983	CDK1	0
984	CDK11B	0
987	LRBA	0
988	CDC5L	0
989	SEPTIN7	1
990	CDC6	0
991	CDC20	1
993	CDC25A	0
994	CDC25B	0
995	CDC25C	0
996	CDC27	1
997	CDC34	0
998	CDC42	1
999	CDH1	0
1000	CDH2	0
1001	CDH3	0
1002	CDH4	0
1003	CDH5	0
1004	CDH6	0
1005	CDH7	0
1006	CDH8	0
1007	CDH9	0
1008	CDH10	0
1009	CDH11	0
1010	CDH12	1
1012	CDH13	0
1013	CDH15	0
1014	CDH16	0
1015	CDH17	0
1016	CDH18	0
1017	CDK2	0
1018	CDK3	0
1019	CDK4	1
1020	CDK5	1
1021	CDK6	0
1022	CDK7	1
1024	CDK8	1
1025	CDK9	0
1026	CDKN1A	0
1027	CDKN1B	0
1028	CDKN1C	0
1029	CDKN2A	0
1030	CDKN2B	0
1031	CDKN2C	0
1032	CDKN2D	0
1033	CDKN3	0
1036	CDO1	0
1039	CDR2	0
1040	CDS1	0
1041	CDSN	0
1043	CD52	0
1044	CDX1	0
1045	CDX2	0
1046	CDX4	0
1047	CLGN	0
1048	CEACAM5	0
1050	CEBPA	0
1051	CEBPB	0
1052	CEBPD	0
1053	CEBPE	0
1054	CEBPG	0
1056	CEL	1
1058	CENPA	0
1059	CENPB	0
1060	CENPC	1
1062	CENPE	0
1063	CENPF	0
1066	CES1	1
1068	CETN1	0
1069	CETN2	0
1070	CETN3	0
1071	CETP	0
1072	CFL1	1
1073	CFL2	0
1075	CTSC	0
1080	CFTR	1
1081	CGA	0
1082	CGB3	0
1084	CEACAM3	1
1087	CEACAM7	0
1088	CEACAM8	1
1089	CEACAM4	0
1101	CHAD	0
1102	RCBTB2	1
1103	CHAT	0
1104	RCC1	0
1105	CHD1	0
1106	CHD2	0
1107	CHD3	0
1108	CHD4	0
1109	AKR1C4	0
1111	CHEK1	0
1112	FOXN3	1
1113	CHGA	0
1114	CHGB	0
1116	CHI3L1	0
1117	CHI3L2	0
1118	CHIT1	1
1119	CHKA	0
1120	CHKB	0
1121	CHM	0
1122	CHML	0
1123	CHN1	1
1124	CHN2	0
1128	CHRM1	0
1129	CHRM2	0
1130	LYST	0
1131	CHRM3	0
1132	CHRM4	0
1133	CHRM5	0
1134	CHRNA1	0
1135	CHRNA2	0
1136	CHRNA3	0
1137	CHRNA4	0
1138	CHRNA5	0
1139	CHRNA7	0
1140	CHRNB1	0
1141	CHRNB2	0
1142	CHRNB3	0
1143	CHRNB4	0
1144	CHRND	0
1145	CHRNE	0
1146	CHRNG	0
1147	CHUK	0
1149	CIDEA	0
1152	CKB	1
1153	CIRBP	0
1154	CISH	0
1155	TBCB	0
1158	CKM	0
1159	CKMT1B	0
1160	CKMT2	0
1161	ERCC8	0
1163	CKS1B	1
1164	CKS2	0
1173	AP2M1	0
1174	AP1S1	0
1175	AP2S1	0
1176	AP3S1	1
1178	CLC	1
1179	CLCA1	0
1180	CLCN1	0
1181	CLCN2	0
1182	CLCN3	1
1183	CLCN4	0
1184	CLCN5	0
1185	CLCN6	0
1186	CLCN7	0
1187	CLCNKA	0
1188	CLCNKB	0
1191	CLU	0
1192	CLIC1	1
1193	CLIC2	0
1195	CLK1	0
1196	CLK2	1
1198	CLK3	1
1200	TPP1	0
1201	CLN3	0
1203	CLN5	0
1207	CLNS1A	1
1208	CLPS	0
1209	CLPTM1	0
1211	CLTA	1
1212	CLTB	0
1213	CLTC	0
1215	CMA1	0
1230	CCR1	0
1232	CCR3	0
1233	CCR4	0
1234	CCR5	0
1235	CCR6	0
1236	CCR7	0
1237	CCR8	0
1238	ACKR2	0
1240	CMKLR1	0
1241	LTB4R	0
1244	ABCC2	0
1258	CNGB1	0
1259	CNGA1	1
1260	CNGA2	0
1261	CNGA3	0
1262	CNGA4	0
1263	PLK3	0
1264	CNN1	0
1265	CNN2	1
1266	CNN3	1
1267	CNP	0
1268	CNR1	0
1269	CNR2	0
1270	CNTF	0
1271	CNTFR	0
1272	CNTN1	0
1277	COL1A1	0
1278	COL1A2	0
1280	COL2A1	0
1281	COL3A1	0
1282	COL4A1	0
1284	COL4A2	0
1285	COL4A3	0
1286	COL4A4	0
1287	COL4A5	0
1288	COL4A6	0
1289	COL5A1	0
1290	COL5A2	0
1291	COL6A1	0
1292	COL6A2	0
1293	COL6A3	0
1294	COL7A1	0
1295	COL8A1	0
1296	COL8A2	0
1297	COL9A1	0
1298	COL9A2	0
1299	COL9A3	0
1300	COL10A1	0
1301	COL11A1	0
1302	COL11A2	1
1303	COL12A1	0
1305	COL13A1	0
1306	COL15A1	0
1307	COL16A1	0
1308	COL17A1	0
1310	COL19A1	0
1311	COMP	0
1312	COMT	0
1314	COPA	0
1315	COPB1	0
1316	KLF6	0
1317	SLC31A1	1
1318	SLC31A2	0
1325	CORT	0
1326	MAP3K8	0
1327	COX4I1	1
1329	COX5B	1
1337	COX6A1	1
1339	COX6A2	0
1340	COX6B1	1
1345	COX6C	1
1346	COX7A1	0
1347	COX7A2	1
1349	COX7B	1
1350	COX7C	1
1351	COX8A	0
1352	COX10	0
1353	COX11	1
1355	COX15	0
1356	CP	1
1357	CPA1	0
1358	CPA2	0
1359	CPA3	0
1360	CPB1	0
1361	CPB2	0
1362	CPD	1
1363	CPE	0
1364	CLDN4	0
1365	CLDN3	0
1366	CLDN7	1
1368	CPM	0
1369	CPN1	0
1370	CPN2	0
1371	CPOX	0
1373	CPS1	0
1374	CPT1A	0
1375	CPT1B	0
1376	CPT2	1
1378	CR1	1
1379	CR1L	0
1380	CR2	0
1381	CRABP1	0
1382	CRABP2	0
1384	CRAT	0
1385	CREB1	1
1386	ATF2	0
1387	CREBBP	0
1388	ATF6B	0
1389	CREBL2	0
1390	CREM	0
1392	CRH	0
1393	CRHBP	0
1394	CRHR1	0
1395	CRHR2	0
1396	CRIP1	1
1397	CRIP2	0
1398	CRK	0
1399	CRKL	0
1400	CRMP1	0
1401	CRP	1
1404	HAPLN1	0
1406	CRX	0
1407	CRY1	0
1408	CRY2	0
1409	CRYAA	0
1410	CRYAB	0
1411	CRYBA1	0
1412	CRYBA2	0
1413	CRYBA4	0
1414	CRYBB1	0
1415	CRYBB2	1
1417	CRYBB3	0
1418	CRYGA	0
1419	CRYGB	0
1420	CRYGC	0
1421	CRYGD	1
1427	CRYGS	0
1428	CRYM	0
1429	CRYZ	1
1431	CS	1
1432	MAPK14	0
1434	CSE1L	0
1435	CSF1	0
1436	CSF1R	0
1437	CSF2	0
1438	CSF2RA	0
1439	CSF2RB	1
1440	CSF3	0
1441	CSF3R	0
1442	CSH1	0
1443	CSH2	0
1444	CSHL1	0
1445	CSK	0
1446	CSN1S1	0
1447	CSN2	0
1448	CSN3	0
1452	CSNK1A1	1
1453	CSNK1D	0
1454	CSNK1E	0
1455	CSNK1G2	1
1456	CSNK1G3	0
1457	CSNK2A1	0
1459	CSNK2A2	0
1460	CSNK2B	0
1462	VCAN	0
1463	NCAN	0
1464	CSPG4	1
1465	CSRP1	0
1466	CSRP2	1
1468	SLC25A10	0
1469	CST1	1
1470	CST2	0
1471	CST3	0
1472	CST4	1
1473	CST5	0
1474	CST6	0
1475	CSTA	0
1476	CSTB	1
1477	CSTF1	0
1478	CSTF2	0
1479	CSTF3	0
1482	NKX2-5	0
1485	CTAG1B	0
1486	CTBS	0
1487	CTBP1	0
1488	CTBP2	1
1489	CTF1	0
1490	CCN2	0
1491	CTH	0
1493	CTLA4	0
1495	CTNNA1	1
1496	CTNNA2	0
1497	CTNS	0
1499	CTNNB1	1
1500	CTNND1	0
1501	CTNND2	0
1503	CTPS1	0
1504	CTRB1	0
1506	CTRL	0
1508	CTSB	1
1509	CTSD	0
1510	CTSE	0
1511	CTSG	0
1512	CTSH	0
1513	CTSK	0
1514	CTSL	1
1515	CTSV	0
1519	CTSO	0
1520	CTSS	0
1521	CTSW	0
1522	CTSZ	0
1523	CUX1	0
1524	CX3CR1	0
1525	CXADR	1
1527	TEX28	1
1528	CYB5A	1
1534	CYB561	0
1535	CYBA	0
1536	CYBB	0
1537	CYC1	0
1538	CYLC1	0
1539	CYLC2	0
1540	CYLD	0
1543	CYP1A1	1
1544	CYP1A2	0
1545	CYP1B1	0
1548	CYP2A6	0
1549	CYP2A7	1
1551	CYP3A7	0
1553	CYP2A13	0
1555	CYP2B6	0
1557	CYP2C19	1
1558	CYP2C8	1
1559	CYP2C9	0
1562	CYP2C18	1
1565	CYP2D6	1
1571	CYP2E1	0
1572	CYP2F1	1
1573	CYP2J2	0
1576	CYP3A4	0
1577	CYP3A5	1
1579	CYP4A11	1
1580	CYP4B1	0
1581	CYP7A1	0
1582	CYP8B1	0
1583	CYP11A1	0
1584	CYP11B1	0
1585	CYP11B2	0
1586	CYP17A1	0
1588	CYP19A1	0
1589	CYP21A2	1
1591	CYP24A1	0
1592	CYP26A1	0
1593	CYP27A1	0
1594	CYP27B1	0
1595	CYP51A1	1
1600	DAB1	0
1601	DAB2	0
1602	DACH1	0
1603	DAD1	1
1604	CD55	0
1605	DAG1	0
1606	DGKA	0
1607	DGKB	0
1608	DGKG	0
1609	DGKQ	0
1610	DAO	0
1611	DAP	0
1612	DAPK1	1
1613	DAPK3	0
1615	DARS1	0
1616	DAXX	0
1617	DAZ1	0
1618	DAZL	0
1620	BRINP1	0
1621	DBH	0
1622	DBI	1
1627	DBN1	0
1628	DBP	0
1629	DBT	1
1630	DCC	0
1632	ECI1	0
1633	DCK	0
1634	DCN	0
1635	DCTD	0
1636	ACE	1
1638	DCT	0
1639	DCTN1	0
1641	DCX	0
1642	DDB1	0
1643	DDB2	0
1644	DDC	0
1645	AKR1C1	1
1646	AKR1C2	0
1647	GADD45A	1
1649	DDIT3	0
1650	DDOST	0
1652	DDT	1
1653	DDX1	0
1654	DDX3X	1
1655	DDX5	1
1656	DDX6	1
1657	DMXL1	0
1659	DHX8	0
1660	DHX9	1
1662	DDX10	1
1663	DDX11	0
1665	DHX15	0
1666	DECR1	0
1667	DEFA1	0
1668	DEFA3	0
1669	DEFA4	0
1670	DEFA5	0
1671	DEFA6	1
1672	DEFB1	0
1673	DEFB4A	0
1674	DES	0
1675	CFD	0
1676	DFFA	1
1677	DFFB	1
1678	TIMM8A	1
1687	GSDME	0
1690	COCH	0
1716	DGUOK	0
1717	DHCR7	0
1718	DHCR24	0
1719	DHFR	1
1723	DHODH	0
1725	DHPS	0
1727	CYB5R3	0
1728	NQO1	0
1729	DIAPH1	0
1730	DIAPH2	0
1731	SEPTIN1	0
1733	DIO1	0
1734	DIO2	0
1735	DIO3	0
1736	DKC1	0
1737	DLAT	0
1738	DLD	0
1739	DLG1	0
1740	DLG2	0
1741	DLG3	0
1742	DLG4	0
1743	DLST	1
1745	DLX1	0
1746	DLX2	0
1747	DLX3	0
1748	DLX4	0
1749	DLX5	0
1750	DLX6	0
1755	DMBT1	1
1756	DMD	0
1757	SARDH	0
1758	DMP1	0
1759	DNM1	1
1760	DMPK	0
1761	DMRT1	0
1762	DMWD	0
1763	DNA2	0
1767	DNAH5	0
1768	DNAH6	0
1769	DNAH8	0
1770	DNAH9	0
1773	DNASE1	0
1774	DNASE1L1	0
1775	DNASE1L2	0
1776	DNASE1L3	0
1777	DNASE2	0
1778	DYNC1H1	0
1780	DYNC1I1	0
1781	DYNC1I2	1
1783	DYNC1LI2	0
1785	DNM2	0
1786	DNMT1	0
1787	TRDMT1	0
1788	DNMT3A	1
1789	DNMT3B	0
1791	DNTT	0
1793	DOCK1	1
1794	DOCK2	0
1795	DOCK3	0
1796	DOK1	0
1797	DXO	0
1798	DPAGT1	0
1800	DPEP1	0
1801	DPH1	0
1802	DPH2	0
1803	DPP4	0
1804	DPP6	0
1805	DPT	0
1806	DPYD	0
1807	DPYS	0
1808	DPYSL2	0
1809	DPYSL3	0
1810	DR1	0
1811	SLC26A3	0
1812	DRD1	0
1813	DRD2	0
1814	DRD3	0
1815	DRD4	0
1816	DRD5	1
1819	DRG2	0
1820	ARID3A	0
1821	DRP2	0
1822	ATN1	1
1823	DSC1	0
1824	DSC2	0
1825	DSC3	0
1826	DSCAM	0
1827	RCAN1	0
1828	DSG1	0
1829	DSG2	0
1830	DSG3	0
1831	TSC22D3	1
1832	DSP	0
1833	EPYC	0
1834	DSPP	0
1836	SLC26A2	0
1837	DTNA	0
1838	DTNB	0
1839	HBEGF	0
1840	DTX1	0
1841	DTYMK	0
1842	ECM2	0
1843	DUSP1	0
1844	DUSP2	0
1845	DUSP3	1
1846	DUSP4	0
1847	DUSP5	1
1848	DUSP6	0
1849	DUSP7	0
1850	DUSP8	1
1852	DUSP9	0
1854	DUT	1
1855	DVL1	1
1856	DVL2	0
1857	DVL3	0
1859	DYRK1A	0
1861	TOR1A	0
1869	E2F1	0
1870	E2F2	0
1871	E2F3	1
1874	E2F4	1
1875	E2F5	0
1876	E2F6	1
1877	E4F1	0
1879	EBF1	0
1880	GPR183	1
1889	ECE1	0
1890	TYMP	0
1891	ECH1	0
1892	ECHS1	0
1893	ECM1	1
1894	ECT2	0
1896	EDA	0
1901	S1PR1	0
1902	LPAR1	0
1903	S1PR3	0
1906	EDN1	0
1907	EDN2	0
1908	EDN3	0
1909	EDNRA	0
1910	EDNRB	0
1911	PHC1	1
1912	PHC2	0
1915	EEF1A1	1
1917	EEF1A2	1
1933	EEF1B2	1
1936	EEF1D	1
1937	EEF1G	1
1938	EEF2	0
1939	EIF2D	0
1942	EFNA1	0
1943	EFNA2	0
1944	EFNA3	0
1945	EFNA4	0
1946	EFNA5	0
1947	EFNB1	0
1948	EFNB2	0
1949	EFNB3	0
1950	EGF	0
1951	CELSR3	0
1952	CELSR2	0
1953	MEGF6	0
1954	MEGF8	0
1955	MEGF9	0
1956	EGFR	0
1958	EGR1	0
1959	EGR2	0
1960	EGR3	0
1961	EGR4	0
1962	EHHADH	0
1964	EIF1AX	1
1965	EIF2S1	0
1967	EIF2B1	0
1968	EIF2S3	1
1969	EPHA2	0
1973	EIF4A1	1
1974	EIF4A2	1
1975	EIF4B	1
1977	EIF4E	1
1978	EIF4EBP1	1
1979	EIF4EBP2	1
1981	EIF4G1	0
1982	EIF4G2	0
1983	EIF5	1
1984	EIF5A	1
1990	CELA1	0
1991	ELANE	0
1992	SERPINB1	0
1993	ELAVL2	0
1994	ELAVL1	0
1995	ELAVL3	0
1996	ELAVL4	0
1997	ELF1	0
1998	ELF2	1
1999	ELF3	0
2000	ELF4	0
2001	ELF5	0
2002	ELK1	1
2004	ELK3	0
2005	ELK4	0
