refseq_ids	Ensembl_Gene_ID
NP_000251.3	ENSG00000137474
NP_000254.2	ENSG00000108784
NP_000259.1	ENSG00000186575
NP_000266.2	ENSG00000104044
NP_000273.2	ENSG00000175198
NP_000275.1	ENSG00000131828
NP_000276.2	ENSG00000124299
NP_000278.3	ENSG00000124587
NP_000280.1	ENSG00000152556
NP_000283.1	ENSG00000044446
NP_000284.1	ENSG00000102893
NP_000288.1	ENSG00000118762
NP_000292.1	ENSG00000122194
NP_000293.2	ENSG00000083444
NP_000301.1	ENSG00000131238
NP_000307.1	ENSG00000160801
NP_000312.2	ENSG00000139687
NP_000313.2	ENSG00000112619
NP_000317.1	ENSG00000140522
NP_000327.2	ENSG00000168447
NP_000329.2	ENSG00000074803
NP_000333.1	ENSG00000004939
NP_000334.1	ENSG00000100170
NP_000336.1	ENSG00000145335
NP_000339.2	ENSG00000277893
NP_000341.2	ENSG00000198691
NP_000345.2	ENSG00000123561
NP_000349.1	ENSG00000120708
NP_000350.1	ENSG00000092295
NP_000356.1	ENSG00000111669
NP_000358.1	ENSG00000137364
NP_000359.1	ENSG00000165699
NP_000360.2	ENSG00000165409
NP_000361.1	ENSG00000137561
NP_000362.1	ENSG00000118271
NP_000363.1	ENSG00000077498
NP_000364.1	ENSG00000114491
NP_000365.3	ENSG00000126088
NP_000366.1	ENSG00000188690
NP_000371.1	ENSG00000136936
NP_000385.1	ENSG00000160202
NP_000391.1	ENSG00000104884
NP_000401.1	ENSG00000010704
NP_000407.1	ENSG00000027697
NP_000415.2	ENSG00000186081
NP_000422.1	ENSG00000110921
NP_000424.2	ENSG00000116701
NP_000431.2	ENSG00000132915
NP_000432.1	ENSG00000091137
NP_000438.2	ENSG00000143801
NP_000445.1	ENSG00000142168
NP_000446.1	ENSG00000118046
NP_000454.1	ENSG00000241635
NP_000457.1	ENSG00000127980
NP_000468.1	ENSG00000163631
NP_000469.3	ENSG00000162551
NP_000474.2	ENSG00000234906
NP_000479.1	ENSG00000117601
NP_000481.2	ENSG00000101200
NP_000483.3	ENSG00000001626
NP_000488.3	ENSG00000160882
NP_000489.3	ENSG00000179142
NP_000493.1	ENSG00000121053
NP_000496.2	ENSG00000131187
NP_000503.1	ENSG00000141012
NP_000504.1	ENSG00000268221
NP_000507.1	ENSG00000087460
NP_000509.1	ENSG00000244734
NP_000518.1	ENSG00000130164
NP_000519.2	ENSG00000104774
NP_000523.2	ENSG00000114054
NP_000527.2	ENSG00000175097
NP_000532.2	ENSG00000130561
NP_000541.1	ENSG00000107165
NP_000544.2	ENSG00000165392
NP_000549.1	ENSG00000206172
NP_000550.2	ENSG00000213934
NP_000565.1	ENSG00000196352
NP_000608.1	ENSG00000110911
NP_000630.1	ENSG00000117560
NP_000651.3	ENSG00000105329
NP_000657.1	ENSG00000243989
NP_000692.2	ENSG00000163399
NP_000700.1	ENSG00000248098
NP_000708.1	ENSG00000167434
NP_000711.1	ENSG00000157388
NP_000739.1	ENSG00000160716
NP_000742.1	ENSG00000135902
NP_000773.2	ENSG00000019186
NP_000776.1	ENSG00000111012
NP_000778.3	ENSG00000123454
NP_000790.2	ENSG00000130427
NP_000801.1	ENSG00000186297
NP_000812.2	ENSG00000115486
NP_000814.2	ENSG00000106128
NP_000834.2	ENSG00000113262
NP_000874.2	ENSG00000106348
NP_000882.1	ENSG00000123700
NP_000885.1	ENSG00000104826
NP_000892.2	ENSG00000151623
NP_000925.2	ENSG00000167711
NP_001001548.1	ENSG00000135218
NP_001003800.1	ENSG00000185963
NP_001013.1	ENSG00000105372
NP_001017420.1	ENSG00000171320
NP_001020.2	ENSG00000197728
NP_001026.2	ENSG00000198626
NP_001029.1	ENSG00000111319
NP_001032.2	ENSG00000090402
NP_001034230.1	ENSG00000100106
NP_001035257.1	ENSG00000106003
NP_001037.1	ENSG00000064651
NP_001056.1	ENSG00000067182
NP_001073270.1	ENSG00000106692
NP_001073335.1	ENSG00000074582
NP_001080.2	ENSG00000167972
NP_001091954.1	ENSG00000080493
NP_001094.1	ENSG00000077522
NP_001097.2	ENSG00000114739
NP_001195.2	ENSG00000204217
NP_001241.1	ENSG00000101017
NP_001288.3	ENSG00000070729
NP_001289.1	ENSG00000144191
NP_001294.2	ENSG00000006695
NP_001351.2	ENSG00000172893
NP_001376.1	ENSG00000147647
NP_001421.2	ENSG00000116016
NP_001448.2	ENSG00000136068
NP_001549.2	ENSG00000110324
NP_001600.1	ENSG00000196177
NP_001683.2	ENSG00000116039
NP_001734.1	ENSG00000143933
NP_001750.1	ENSG00000118971
NP_001784.2	ENSG00000062038
NP_001839.2	ENSG00000142156
NP_001840.3	ENSG00000142173
NP_001866.2	ENSG00000021826
NP_001918.3	ENSG00000175084
NP_001919.2	ENSG00000197766
NP_001934.2	ENSG00000046604
NP_001954.2	ENSG00000138798
NP_002038.2	ENSG00000106105
NP_002065.1	ENSG00000078369
NP_002078.1	ENSG00000030582
NP_002147.2	ENSG00000144381
NP_002171.2	ENSG00000132740
NP_002176.2	ENSG00000168685
NP_002232.2	ENSG00000177807
NP_002233.2	ENSG00000115474
NP_002264.1	ENSG00000170421
NP_002273.3	ENSG00000170523
NP_002326.2	ENSG00000162337
NP_002418.1	ENSG00000137745
NP_002428.1	ENSG00000115204
NP_002460.1	ENSG00000111046
NP_002461.2	ENSG00000109063
NP_002476.2	ENSG00000104320
NP_002497.2	ENSG00000134259
NP_002520.2	ENSG00000198400
NP_002533.1	ENSG00000114026
NP_002608.1	ENSG00000157911
NP_002609.1	ENSG00000162928
NP_002684.1	ENSG00000140521
NP_002702.2	ENSG00000154415
NP_002760.1	ENSG00000204983
NP_002826.3	ENSG00000127947
NP_002854.3	ENSG00000100504
NP_002878.2	ENSG00000113643
NP_002896.2	ENSG00000135437
NP_002932.1	ENSG00000169855
NP_003027.1	ENSG00000157933
NP_003043.3	ENSG00000131183
NP_003050.2	ENSG00000197208
NP_003051.1	ENSG00000197375
NP_003117.2	ENSG00000163554
NP_003134.1	ENSG00000106028
NP_003163.1	ENSG00000148290
NP_003212.2	ENSG00000008196
NP_003226.4	ENSG00000042832
NP_003235.1	ENSG00000177426
NP_003256.1	ENSG00000164342
NP_003277.1	ENSG00000198900
NP_003313.3	ENSG00000112041
NP_003485.1	ENSG00000135636
NP_003551.2	ENSG00000184381
NP_003562.1	ENSG00000170819
NP_003621.1	ENSG00000034693
NP_003664.1	ENSG00000173991
NP_003671.1	ENSG00000134684
NP_003681.1	ENSG00000180228
NP_003712.1	ENSG00000064490
NP_003713.3	ENSG00000073282
NP_003733.2	ENSG00000073734
NP_003739.2	ENSG00000159423
NP_003788.2	ENSG00000074266
NP_003826.2	ENSG00000108370
NP_003892.2	ENSG00000166224
NP_003898.2	ENSG00000145191
NP_003912.1	ENSG00000142867
NP_003969.2	ENSG00000140368
NP_003986.2	ENSG00000159899
NP_003990.1	ENSG00000145623
NP_004035.2	ENSG00000138363
NP_004046.2	ENSG00000149260
NP_004076.1	ENSG00000126953
NP_004077.1	ENSG00000100473
NP_004163.3	ENSG00000079215
NP_004167.3	ENSG00000072310
NP_004272.2	ENSG00000151929
NP_004327.1	ENSG00000169679
NP_004351.1	ENSG00000039068
NP_004420.1	ENSG00000090776
NP_004521.1	ENSG00000087245
NP_004522.1	ENSG00000164172
NP_004551.2	ENSG00000169071
NP_004553.2	ENSG00000185345
NP_004568.2	ENSG00000146733
NP_004580.1	ENSG00000133028
NP_004603.1	ENSG00000106799
NP_004637.1	ENSG00000161270
NP_004684.2	ENSG00000170454
NP_004735.2	ENSG00000121207
NP_004788.1	ENSG00000181092
NP_004915.2	ENSG00000130402
NP_004963.1	ENSG00000096968
NP_004966.1	ENSG00000158445
NP_004997.4	ENSG00000023228
NP_005017.3	ENSG00000171608
NP_005132.2	ENSG00000171564
NP_005140.1	ENSG00000143178
NP_005190.4	ENSG00000196811
NP_005206.2	ENSG00000187323
NP_005219.2	ENSG00000146648
NP_005227.1	ENSG00000175595
NP_005258.2	ENSG00000121634
NP_005262.1	ENSG00000148672
NP_005347.3	ENSG00000182866
NP_005350.1	ENSG00000141646
NP_005364.1	ENSG00000117400
NP_005413.2	ENSG00000109927
NP_005463.1	ENSG00000175538
NP_005467.1	ENSG00000159921
NP_005525.2	ENSG00000159128
NP_005526.1	ENSG00000096996
NP_005534.2	ENSG00000248099
NP_005546.2	ENSG00000185479
NP_005548.2	ENSG00000186832
NP_005600.1	ENSG00000068976
NP_005717.3	ENSG00000123297
NP_005768.1	ENSG00000004534
NP_005778.1	ENSG00000214160
NP_005903.2	ENSG00000166603
NP_005948.3	ENSG00000177000
NP_005984.3	ENSG00000141556
NP_006010.2	ENSG00000110719
NP_006051.1	ENSG00000185811
NP_006064.2	ENSG00000186439
NP_006112.3	ENSG00000167768
NP_006149.2	ENSG00000277586
NP_006209.2	ENSG00000121879
NP_006253.2	ENSG00000135406
NP_006293.2	ENSG00000115275
NP_006320.2	ENSG00000140092
NP_006334.2	ENSG00000153208
NP_006354.2	ENSG00000101310
NP_006355.2	ENSG00000100934
NP_006411.2	ENSG00000124198
NP_006485.2	ENSG00000105722
NP_006556.1	ENSG00000102974
NP_006614.2	ENSG00000092621
NP_006781.1	ENSG00000120729
NP_008822.2	ENSG00000118231
NP_008823.1	ENSG00000088305
NP_008849.2	ENSG00000109929
NP_009034.2	ENSG00000167792
NP_009051.1	ENSG00000244474
NP_009125.1	ENSG00000183765
NP_009129.1	ENSG00000147471
NP_009185.2	ENSG00000039650
NP_009186.1	ENSG00000027847
NP_031374.2	ENSG00000118217
NP_031400.2	ENSG00000184302
NP_036214.2	ENSG00000169946
NP_036276.1	ENSG00000122735
NP_036335.1	ENSG00000137106
NP_036375.1	ENSG00000117620
NP_036382.2	ENSG00000133818
NP_036407.1	ENSG00000136695
NP_036413.1	ENSG00000184408
NP_036530.1	ENSG00000186111
NP_036547.1	ENSG00000197275
NP_036566.1	ENSG00000119899
NP_036584.1	ENSG00000240505
NP_037378.1	ENSG00000175505
NP_037471.2	ENSG00000088035
NP_037514.2	ENSG00000009830
NP_037523.2	ENSG00000132837
NP_038460.4	ENSG00000160949
NP_054706.1	ENSG00000035403
NP_054733.2	ENSG00000144028
NP_054762.2	ENSG00000083937
NP_054772.1	ENSG00000162769
NP_054831.2	ENSG00000104447
NP_054859.2	ENSG00000138375
NP_055064.1	ENSG00000278570
NP_055151.3	ENSG00000129221
NP_055178.3	ENSG00000151835
NP_055180.1	ENSG00000152137
NP_055199.1	ENSG00000151498
NP_055240.2	ENSG00000119509
NP_055400.1	ENSG00000138449
NP_055403.2	ENSG00000100987
NP_055521.1	ENSG00000075856
NP_055529.2	ENSG00000187535
NP_055612.2	ENSG00000112365
NP_055624.2	ENSG00000137261
NP_055660.1	ENSG00000112367
NP_055689.1	ENSG00000116688
NP_055723.1	ENSG00000175283
NP_055761.2	ENSG00000021574
NP_055855.2	ENSG00000115020
NP_055861.3	ENSG00000107290
NP_055887.3	ENSG00000119685
NP_055917.1	ENSG00000131697
NP_056201.2	ENSG00000103051
NP_056374.2	ENSG00000152217
NP_056442.2	ENSG00000157978
NP_056993.2	ENSG00000151779
NP_056999.2	ENSG00000198513
NP_057006.1	ENSG00000147383
NP_057021.2	ENSG00000124155
NP_057240.3	ENSG00000087053
NP_057425.3	ENSG00000138193
NP_057457.1	ENSG00000186153
NP_059111.2	ENSG00000146021
NP_060017.1	ENSG00000110074
NP_060114.2	ENSG00000114796
NP_060116.2	ENSG00000043514
NP_060124.2	ENSG00000205413
NP_060132.3	ENSG00000119121
NP_060247.2	ENSG00000011143
NP_060516.2	ENSG00000164252
NP_060570.2	ENSG00000096093
NP_060592.2	ENSG00000117593
NP_060599.1	ENSG00000108439
NP_060664.2	ENSG00000054392
NP_060789.2	ENSG00000042088
NP_060814.4	ENSG00000198246
NP_061496.2	ENSG00000006283
NP_061764.2	ENSG00000182372
NP_061838.1	ENSG00000095970
NP_061971.3	ENSG00000170289
NP_063945.2	ENSG00000148384
NP_064716.2	ENSG00000146282
NP_065099.3	ENSG00000092200
NP_065134.1	ENSG00000111581
NP_065169.1	ENSG00000101115
NP_065394.1	ENSG00000090674
NP_065737.2	ENSG00000183044
NP_066124.1	ENSG00000165731
NP_066288.2	ENSG00000177030
NP_068590.1	ENSG00000151748
NP_068657.1	ENSG00000171560
NP_068741.1	ENSG00000112039
NP_068775.1	ENSG00000164418
NP_068813.1	ENSG00000149418
NP_071324.1	ENSG00000261609
NP_071451.2	ENSG00000115267
NP_071762.2	ENSG00000196189
NP_071764.3	ENSG00000137868
NP_071881.1	ENSG00000138075
NP_071882.1	ENSG00000143921
NP_071900.2	ENSG00000165671
NP_072046.2	ENSG00000119772
NP_076872.1	ENSG00000188910
NP_076982.3	ENSG00000187742
NP_076984.2	ENSG00000159063
NP_077277.1	ENSG00000181027
NP_078846.2	ENSG00000136104
NP_078853.2	ENSG00000169247
NP_078925.3	ENSG00000174483
NP_079058.1	ENSG00000187736
NP_079160.1	ENSG00000087299
NP_079272.4	ENSG00000168827
NP_079375.3	ENSG00000178971
NP_079408.3	ENSG00000157796
NP_079420.3	ENSG00000073331
NP_110404.1	ENSG00000197496
NP_113621.1	ENSG00000235718
NP_113631.1	ENSG00000136280
NP_115604.1	ENSG00000197601
NP_115759.2	ENSG00000163755
NP_115763.2	ENSG00000126562
NP_115785.1	ENSG00000158828
NP_115940.2	ENSG00000116014
NP_149017.2	ENSG00000140463
NP_149109.1	ENSG00000101306
NP_443077.1	ENSG00000139428
NP_446464.1	ENSG00000130707
NP_476517.1	ENSG00000162399
NP_477520.2	ENSG00000163297
NP_510870.1	ENSG00000014919
NP_550438.1	ENSG00000114956
NP_570718.1	ENSG00000133105
NP_597677.2	ENSG00000164190
NP_598004.1	ENSG00000168263
NP_619639.3	ENSG00000170927
NP_620409.1	ENSG00000173218
NP_640335.2	ENSG00000103707
NP_644805.1	ENSG00000168610
NP_653186.2	ENSG00000197891
NP_659731.1	ENSG00000034152
NP_660208.2	ENSG00000145375
NP_663729.1	ENSG00000171953
NP_683695.1	ENSG00000170426
NP_683763.2	ENSG00000164007
NP_689606.2	ENSG00000157119
NP_689656.2	ENSG00000139988
NP_689831.2	ENSG00000181004
NP_689922.3	ENSG00000165730
NP_689935.2	ENSG00000165478
NP_689996.4	ENSG00000180902
NP_694944.1	ENSG00000189433
NP_694972.3	ENSG00000113971
NP_714915.3	ENSG00000164953
NP_714928.1	ENSG00000072840
NP_751951.1	ENSG00000159197
NP_758454.1	ENSG00000151611
NP_775099.2	ENSG00000144452
NP_775754.2	ENSG00000171954
NP_775931.3	ENSG00000175920
NP_777596.2	ENSG00000169174
NP_821133.1	ENSG00000196230
NP_878314.1	ENSG00000119614
NP_937895.1	ENSG00000148180
NP_938012.2	ENSG00000163380
NP_938023.1	ENSG00000184584
NP_940916.2	ENSG00000196865
NP_957705.1	ENSG00000134376
NP_963890.2	ENSG00000165995
NP_976035.1	ENSG00000171453
NP_982353.1	ENSG00000090932
NP_995583.1	ENSG00000117682
NP_997235.3	ENSG00000145476
NP_998764.1	ENSG00000171714
NP_998818.1	ENSG00000168509
NP_000062.1	ENSG00000160200
NP_000265.1	ENSG00000065154
NP_001167461.1	ENSG00000187049
NP_000018.2	ENSG00000038002
NP_000389.1	ENSG00000100243
NP_001127835.2	ENSG00000203867
NP_000543.3	ENSG00000110799
NP_000299.3	ENSG00000064601
NP_597716.1	ENSG00000183287
NP_000308.1	ENSG00000150787
NP_001380429.1	ENSG00000284844
NP_000268.1	ENSG00000171759
NP_000303.1	ENSG00000115718
NP_000498.2	ENSG00000165140
NP_000037.2	ENSG00000113273
NP_000172.2	ENSG00000169919
NP_000395.3	ENSG00000170266
NP_001026880.2	ENSG00000122550
NP_612396.1	ENSG00000141349
NP_071934.3	ENSG00000203485
NP_056087.2	ENSG00000103494
NP_055661.3	ENSG00000164961
NP_000420.1	ENSG00000151224
NP_001036167.1	ENSG00000204311
NP_078961.3	ENSG00000179941
NP_079390.3	ENSG00000198707
NP_056321.2	ENSG00000132763
NP_001170787.2	ENSG00000198569
NP_001345850.1	ENSG00000173085
NP_000181.2	ENSG00000256269
NP_000289.1	ENSG00000143627
NP_005133.2	ENSG00000134812
NP_000093.1	ENSG00000148795
NP_001366157.1	ENSG00000170262
NP_001357587.1	ENSG00000169814
NP_001339443.1	ENSG00000159267
NP_064551.3	ENSG00000078070
NP_940980.4	ENSG00000188906
NP_000013.2	ENSG00000196839
NP_000222.2	ENSG00000102683
NP_060250.2	ENSG00000171316
NP_001265222.1	ENSG00000113966
NP_001121121.1	ENSG00000215193
NP_001139281.1	ENSG00000105357
NP_000542.1	ENSG00000134086
NP_996816.3	ENSG00000042781
NP_000039.2	ENSG00000126522
NP_001166935.1	ENSG00000139116
NP_997005.1	ENSG00000151348
NP_000118.2	ENSG00000182197
NP_653200.2	ENSG00000170113
NP_071449.1	ENSG00000103489
NP_079491.2	ENSG00000177192
NP_940988.2	ENSG00000187566
NP_000117.1	ENSG00000140374
NP_000040.1	ENSG00000108381
NP_000382.3	ENSG00000166340
NP_877437.2	ENSG00000144455
NP_004174.1	ENSG00000167995
NP_000149.4	ENSG00000114480
NP_079469.2	ENSG00000099377
NP_000262.2	ENSG00000141458
NP_000534.3	ENSG00000166311
NP_000217.2	ENSG00000171403
NP_789794.1	ENSG00000138686
NP_000478.3	ENSG00000100299
NP_573566.2	ENSG00000138095
NP_000209.2	ENSG00000053918
NP_000520.1	ENSG00000185231
NP_000374.1	ENSG00000160224
NP_004689.1	ENSG00000117360
NP_006138.1	ENSG00000117595
NP_077744.4	ENSG00000184937
NP_001121650.1	ENSG00000144061
NP_001035897.1	ENSG00000188603
NP_002216.3	ENSG00000128928
NP_000007.1	ENSG00000117054
NP_000146.2	ENSG00000213930
NP_000512.2	ENSG00000049860
NP_000511.2	ENSG00000213614
NP_001193673.1	ENSG00000115705
NP_000164.5	ENSG00000185245
NP_338599.1	ENSG00000213689
NP_061845.2	ENSG00000104381
NP_079412.1	ENSG00000125741
NP_000775.1	ENSG00000135929
NP_055054.1	ENSG00000119718
NP_037379.1	ENSG00000115317
NP_001230062.1	ENSG00000162711
NP_004928.2	ENSG00000040531
NP_001116427.1	ENSG00000168000
NP_001373322.1	ENSG00000125779
NP_079519.1	ENSG00000135917
NP_114091.4	ENSG00000125124
NP_001357395.1	ENSG00000167207
NP_001269463.1	ENSG00000169427
NP_006406.1	ENSG00000090054
NP_004729.1	ENSG00000124164
NP_000188.1	ENSG00000130948
NP_071407.4	ENSG00000107736
NP_001243246.1	ENSG00000160183
NP_067638.3	ENSG00000111199
NP_056480.1	ENSG00000094914
NP_067628.1	ENSG00000183196
NP_570850.2	ENSG00000198836
NP_000190.1	ENSG00000181523
NP_031401.1	ENSG00000120948
NP_006837.2	ENSG00000133710
NP_740754.1	ENSG00000125863
NP_055440.1	ENSG00000116218
NP_005088.1	ENSG00000108231
NP_001103689.1	ENSG00000121742
NP_006008.1	ENSG00000007062
NP_001092744.1	ENSG00000092330
NP_000145.1	ENSG00000108479
NP_000090.1	ENSG00000101439
NP_005129.2	ENSG00000284194
NP_005085.2	ENSG00000167114
NP_620596.2	ENSG00000160323
NP_071731.1	ENSG00000135960
NP_001106963.1	ENSG00000184640
NP_000325.4	ENSG00000007314
NP_006571.2	ENSG00000113946
NP_008927.1	ENSG00000117479
NP_055067.1	ENSG00000102743
NP_963925.2	ENSG00000104055
NP_001129944.1	ENSG00000189067
NP_004612.2	ENSG00000137672
NP_689597.1	ENSG00000163093
NP_003973.3	ENSG00000155465
NP_004691.2	ENSG00000117013
NP_001352465.1	ENSG00000169432
NP_001162.5	ENSG00000091262
NP_005668.2	ENSG00000206561
NP_001124459.1	ENSG00000135636
NP_002274.1	ENSG00000135443
NP_057287.2	ENSG00000106617
NP_006077.2	ENSG00000258947
NP_001167618.1	ENSG00000136944
NP_002445.2	ENSG00000124275
NP_006000.2	ENSG00000167552
NP_001361314.1	ENSG00000081923
NP_001005361.1	ENSG00000079805
NP_005135.2	ENSG00000168453
NP_036342.2	ENSG00000119401
NP_742105.1	ENSG00000075043
NP_000545.1	ENSG00000105392
NP_001531.1	ENSG00000106211
NP_001116153.1	ENSG00000087266
NP_001366129.1	ENSG00000184058
NP_000205.1	ENSG00000101384
NP_996820.1	ENSG00000174405
NP_000294.1	ENSG00000140650
NP_000095.2	ENSG00000138061
NP_000851.2	ENSG00000164120
NP_852259.1	ENSG00000089225
NP_006252.4	ENSG00000175325
NP_005370.1	ENSG00000166866
NP_958786.1	ENSG00000178209
NP_203123.1	ENSG00000182533
NP_005973.1	ENSG00000126778
NP_000379.3	ENSG00000036828
NP_000383.2	ENSG00000023839
NP_000387.1	ENSG00000143387
NP_000295.1	ENSG00000109099
NP_009057.1	ENSG00000165280
NP_001120694.1	ENSG00000141837
NP_000169.1	ENSG00000100983
NP_001119580.2	ENSG00000070915
NP_005253.3	ENSG00000127554
NP_001116236.1	ENSG00000143224
NP_006748.1	ENSG00000130595
NP_000340.2	ENSG00000147465
NP_000343.2	ENSG00000006071
NP_001371839.1	ENSG00000048545
NP_000335.1	ENSG00000172062
NP_000426.2	ENSG00000074181
NP_000152.1	ENSG00000131979
NP_001019801.3	ENSG00000124813
NP_000414.2	ENSG00000172867
NP_000326.2	ENSG00000183873
NP_000014.1	ENSG00000108823
NP_000202.3	ENSG00000160255
NP_000035.2	ENSG00000169083
NP_000442.1	ENSG00000185960
NP_000321.1	ENSG00000102104
NP_002285.1	ENSG00000005893
NP_001265045.1	ENSG00000198910
NP_002040.1	ENSG00000102145
NP_000157.1	ENSG00000169562
NP_203699.1	ENSG00000188153
NP_000023.2	ENSG00000158578
NP_000193.1	ENSG00000010404
NP_064445.2	ENSG00000102076
NP_008846.2	ENSG00000102218
NP_001307681.2	ENSG00000101846
NP_000124.1	ENSG00000101981
NP_000257.1	ENSG00000124479
NP_000160.1	ENSG00000102393
NP_919253.1	ENSG00000165694
NP_004454.2	ENSG00000102302
NP_000267.2	ENSG00000122126
NP_036412.1	ENSG00000068438
NP_000522.3	ENSG00000036473
NP_001390.1	ENSG00000158813
NP_000243.1	ENSG00000171100
NP_001015877.1	ENSG00000156531
NP_000107.1	ENSG00000102125
NP_000368.1	ENSG00000015285
NP_000108.1	ENSG00000102119
NP_620689.1	ENSG00000004848
NP_000024.2	ENSG00000101986
NP_000052.1	ENSG00000010671
NP_056968.1	ENSG00000012174
NP_054728.2	ENSG00000049768
NP_003404.1	ENSG00000156925
NP_004484.1	ENSG00000072506
NP_006570.1	ENSG00000147155
NP_001354.1	ENSG00000130826
NP_001182482.1	ENSG00000077279
NP_004586.2	ENSG00000102172
NP_006508.2	ENSG00000147100
NP_006297.2	ENSG00000072501
NP_000480.3	ENSG00000085224
NP_001104026.1	ENSG00000196924
NP_000043.4	ENSG00000165240
NP_001121370.1	ENSG00000171365
NP_001104262.1	ENSG00000169057
NP_000182.2	ENSG00000117305
NP_000099.2	ENSG00000091140
NP_000472.2	ENSG00000145020
NP_000161.2	ENSG00000178445
NP_000142.2	ENSG00000131482
NP_004444.2	ENSG00000171503
NP_000378.1	ENSG00000178537
NP_000491.4	ENSG00000231852
NP_000351.2	ENSG00000180176
NP_001263274.1	ENSG00000118194
NP_000354.4	ENSG00000129991
NP_689476.2	ENSG00000143549
NP_001018005.1	ENSG00000140416
NP_003280.2	ENSG00000198467
NP_003233.4	ENSG00000163513
NP_001341641.1	ENSG00000151090
NP_203524.1	ENSG00000133703
NP_005334.1	ENSG00000174775
NP_001054.2	ENSG00000091513
NP_000449.1	ENSG00000275410
NP_000353.1	ENSG00000100234
NP_004605.4	ENSG00000166548
NP_000352.1	ENSG00000178726
NP_005624.2	ENSG00000115904
NP_001035232.1	ENSG00000136531
NP_001159435.1	ENSG00000144285
NP_689509.1	ENSG00000105409
NP_000693.1	ENSG00000018625
NP_003115.1	ENSG00000116096
NP_000530.1	ENSG00000163914
NP_000320.1	ENSG00000116745
NP_000439.2	ENSG00000166349
NP_008838.2	ENSG00000183010
NP_001304707.1	ENSG00000168484
NP_000132.3	ENSG00000066468
NP_000304.2	ENSG00000184500
NP_002825.3	ENSG00000179295
NP_002769.1	ENSG00000197746
NP_000198.1	ENSG00000254647
NP_000302.1	ENSG00000171867
NP_004968.2	ENSG00000131398
NP_002658.1	ENSG00000198523
NP_002515.1	ENSG00000213281
NP_061322.2	ENSG00000015479
NP_000430.3	ENSG00000175426
NP_000249.1	ENSG00000160808
NP_000423.2	ENSG00000111245
NP_002464.1	ENSG00000100345
NP_000248.2	ENSG00000092054
NP_002463.2	ENSG00000133020
NP_000521.2	ENSG00000158887
NP_001373069.1	ENSG00000138823
NP_001364194.1	ENSG00000186868
NP_002426.1	ENSG00000178802
NP_733821.1	ENSG00000160789
NP_000412.4	ENSG00000186395
NP_000413.1	ENSG00000128422
NP_000517.3	ENSG00000186847
NP_000508.1	ENSG00000188536
NP_000397.1	ENSG00000109163
NP_006507.2	ENSG00000117394
