NP_001079.1	F1T0I5
NP_000685.1	A0A024R5D8
NP_001380331.1	P48448
NP_000373.1	P51648
NP_005156.1	A0A024QZ64
NP_005155.1	Q9UBJ2
NP_000026.2	A0A024R145
NP_001619.1	A0A024R7A8
NP_000688.2	P18054
NP_000689.1	P09917
NP_004295.2	Q9UM73
NP_001620.2	P20292
NP_001131.3	P16050
NP_001130.1	O75342
NP_001622.2	A0A024R4A2
NP_001132.2	O15296
NP_000469.3	A0A024RAB4
NP_001623.3	P05187
NP_112603.2	P10696
NP_006483.2	O95076
NP_001624.1	P02760
NP_057603.1	Q546D7
NP_001625.2	P17707
NP_001133.1	Q99217
NP_000470.3	P03971
NP_065434.1	Q16671
NP_001135.3	Q9UKV5
NP_001626.1	P49418
NP_001020560.1	Q01432
NP_000472.2	A0A024R2U7
NP_647593.1	A0A024RAF1
NP_001355738.1	A0A5F9UK94
NP_001008220.1	P0DTE7
NP_004029.2	P0DTE7
NP_001008219.1	P0DTE7
NP_000690.1	P04746
NP_001091046.1	P03950
NP_001374366.1	P19961
NP_001137.2	Q15389
NP_001627.2	P12236
NP_001142.2	A0A0S2Z3H3
NP_001143.2	P05141
NP_000691.1	P04083
NP_004030.1	A0A024R5Z7
NP_001145.1	P08758
NP_005130.1	P12429
NP_001141.2	A0A024RC61
NP_001146.2	A0A0S2Z2Z6
NP_004297.2	P27216
NP_665875.1	P50995
NP_001628.1	P28039
NP_033720.2	O75106
NP_001150.3	Q06278
NP_001152.1	P50583
NP_001629.1	Q13790
NP_863651.1	O14727
NP_001340717.1	Q99767
NP_001154.2	Q02410
NP_001155.1	O00213
NP_001630.1	P02743
NP_001632.2	P27695
NP_000374.1	O43918
NP_001631.3	P13798
NP_001157.1	Q13490
NP_001158.2	P98170
NP_001156.1	Q13489
NP_001159.2	A0A0B4J1S3
NP_001634.1	P02652
NP_001135748.1	A0A140VJE9
NP_000030.1	A0A024R3E3
NP_001636.1	A0A024R0T8
NP_001635.2	P41238
NP_000473.2	P06727
NP_000474.2	A0A024R0T9
NP_001160.2	O94778
NP_000031.1	A3KPE2
NP_001637.1	P55056
NP_001638.1	P05090
NP_000475.1	A0A140VJC8
NP_000032.1	A0A0S2Z3D5
NP_001639.1	P07288
NP_000033.2	A0A384NKM6
NP_000476.1	P07741
NP_000630.1	P48023
NP_000034.1	P25445
NP_932766.1	A0A024RA31
NP_001640.1	Q13796
NP_000477.1	P41181
NP_001642.1	P55064
NP_001643.2	Q13520
NP_001641.1	F1DSG4
NP_001161.1	O14520
NP_004916.1	Q92482
NP_066190.2	O43315
NP_000035.2	P10275
NP_001162.5	O95255
NP_001646.2	B0YIW5
NP_001645.1	A0A024R178
NP_001648.1	P15514
NP_001647.1	P36406
NP_001651.1	P18085
NP_001649.1	A0A024R3Q0
NP_001650.1	A0A024R0Y6
NP_001652.2	P49703
NP_001653.1	A4D0Z3
NP_001654.1	P62330
NP_001163.1	A0A024R6A0
NP_001655.1	A0A024R324
NP_000036.2	P05089
NP_004031.1	P62745
NP_005159.1	P61587
NP_786886.1	A0A024R0C8
NP_004299.1	Q07960
NP_001656.2	P84095
NP_001657.3	P98171
NP_004301.1	Q15669
NP_001025226.1	Q13017
NP_001166.3	A0A024RAS5
NP_001167.2	F1T0H7
NP_004300.1	P52565
NP_001168.1	P40616
NP_005160.2	O14813
NP_001658.2	P36404
NP_038286.2	O43182
NP_004302.1	P36405
NP_001659.1	P27540
NP_004303.2	P36575
NP_004032.2	P49407
NP_001284648.1	O00327
NP_004304.1	P32121
NP_000478.3	A0A0C4DFZ2
NP_000037.2	A0A024RAJ9
NP_000038.2	P51690
NP_001307681.2	A0A590UJL0
NP_001660.2	A0A140VK06
NP_001188468.1	P54793
NP_004305.2	P52961
NP_001123488.1	Q13508
NP_808592.2	Q13510
NP_001661.1	O00192
NP_005161.1	Q99929
NP_001662.1	P07306
NP_001188281.1	Q7Z4G9
NP_001663.2	P42127
NP_004307.2	P50553
NP_000039.2	A0A024RDL8
NP_001164509.1	A0A024RBT9
NP_004308.2	O43681
NP_001664.3	P08243
NP_000040.1	P45381
NP_004309.2	Q12797
NP_000479.1	A0A024R944
NP_005162.1	P18846
NP_001665.1	P18847
NP_877962.1	P18848
NP_446464.1	P00966
NP_004035.2	P31939
NP_005163.1	Q92858
NP_001036146.1	Q9P2R6
NP_004036.1	O00244
NP_000692.2	P05023
NP_000693.1	A0A0S2Z3W6
NP_689509.1	P13637
NP_001668.1	A3KLL5
NP_001669.3	P14415
NP_001667.4	P54707
NP_653300.2	Q13733
NP_001671.2	P54710
NP_001670.1	P54709
NP_733765.1	A0A0S2Z3L2
NP_005164.2	Q93084
NP_001001344.1	Q16720
NP_000696.1	P51164
NP_001001331.1	Q01814
NP_004037.1	P25705
NP_001677.2	P06576
NP_001173.2	P49419
NP_001001973.1	P36542
NP_000695.2	A0A384MR29
NP_008817.1	P56381
NP_001678.1	P30049
NP_001675.3	A0A024R968
NP_001353450.1	A0A024RBC7
NP_005166.1	P05496
NP_001679.2	P24539
NP_009031.1	P56385
NP_005167.3	Q06055
NP_001003703.1	P18859
NP_001680.1	P48201
NP_001683.2	P15313
NP_001681.2	P38606
NP_001687.1	P36543
NP_001684.2	A0A140VK65
NP_001685.1	P27449
NP_001686.1	A0A024R9I0
NP_569730.1	O95670
NP_004038.1	Q99437
NP_001123493.1	Q93050
NP_001174.2	A0A384MQW4
NP_001688.1	P48047
NP_000043.4	Q04656
NP_001689.1	Q13825
NP_853553.1	Q9Y679
NP_000481.2	P01185
NP_000697.1	P37288
NP_000044.2	P35670
NP_000698.1	P47901
NP_001176.1	A0A140VK00
NP_000045.1	P30518
NP_001175.2	Q13535
NP_004039.1	P61769
NP_001691.1	P20160
NP_116784.1	A0A024R562
NP_001692.1	Q14032
NP_004314.6	Q99933
NP_068713.2	P30530
NP_001177.1	O14867
NP_001693.2	O14514
NP_001179.1	A0A0S2Z391
NP_620116.1	Q07812
NP_001180.1	P78367
NP_000456.2	Q99728
NP_001695.2	O60242
NP_001351786.1	O60241
NP_001181.2	O15382
NP_005495.2	A0A024RAV0
NP_078925.3	Q8NFJ9
NP_149017.2	A0A0S2Z3A9
NP_000700.1	A0A024R0K3
NP_000046.1	P06276
NP_114091.4	A0A804HIE1
NP_000624.2	A0A024R2B3
NP_898871.1	A0A140VKB3
NP_444284.1	P24385
NP_004040.1	Q16548
NP_612815.1	A0A0S2Z3C5
NP_005169.2	P20749
NP_004041.2	Q92843
NP_001697.2	P41182
NP_001019979.1	Q4VC05
NP_001183.2	Q02223
NP_001185.3	Q9UL51
NP_001073335.1	A0A024R445
NP_004318.3	P11274
NP_976059.1	A0A384MTY4
NP_001366621.1	P30411
NP_000701.2	P46663
NP_004317.2	O00512
NP_001700.2	A0A0E3SU01
NP_001701.2	A0A1U9X7H8
NP_954642.1	P02818
NP_001186.1	Q12934
NP_001702.1	P21810
NP_001703.2	P13688
NP_001704.2	Q93088
NP_001705.2	Q96G01
NP_001188.1	A0A024R4X6
NP_001187.1	A8ASI8
NP_001189.2	O75626
NP_000377.1	Q13867
NP_001706.2	P51451
NP_000704.1	P30043
NP_000703.2	A0A140VJF4
NP_001707.1	A0N0R2
NP_000048.1	P54132
NP_005171.4	P35226
NP_001191.1	C8C060
NP_001708.3	Q01954
NP_001193.2	P12644
NP_001192.4	P12645
NP_006120.1	P13497
NP_001710.1	A8K571
NP_066551.1	M9VUD0
NP_001709.1	P22004
NP_001711.2	P34820
NP_004320.2	P36894
NP_001194.1	O00238
NP_001195.2	Q13873
NP_001196.2	Q12981
NP_001713.2	P05423
NP_975010.1	P51813
NP_004322.1	O60238
NP_004321.3	Q12982
NP_115904.1	A0A024R4A8
NP_001715.1	A0A024R782
NP_075555.1	P58012
NP_004323.2	Q86WA6
NP_001716.3	A0A2R8YDF1
NP_009225.1	P38398
NP_004917.2	A0A024R658
NP_001718.1	P32247
NP_004324.2	P15056
NP_997072.2	Q58F21
NP_001720.1	A0A0S2Z437
NP_004326.1	A0A024R7H5
NP_004325.2	Q10588
NP_001719.2	P35613
NP_008818.3	P47974
NP_001197.1	A0A024R260
NP_001722.1	P62324
NP_001721.2	Q13887
NP_001032726.1	P20290
NP_001723.2	Q13410
NP_000052.1	Q06187
NP_004044.3	Q13895
NP_004327.1	O43683
NP_000705.2	P30536
NP_001203.1	Q07021
NP_001202.5	O60566
NP_057075.1	A0A024RAG6
NP_001365085.1	D6R934
NP_758957.2	A0A024RAA7
NP_000053.2	E9KL26
NP_001724.4	A0A3B3ISR2
NP_001725.1	P09871
NP_000054.2	P06681
NP_000706.1	P04003
NP_001017365.1	P20851
NP_004045.1	A8K2H7
NP_004046.2	A0A140VKH4
NP_009224.2	P0C0L4
NP_001002029.3	P0C0L5
NP_000055.2	P01024
NP_001726.2	P01031
NP_000597.2	P07360
NP_001727.2	P21730
NP_000553.1	P07357
NP_000578.2	P10643
NP_000056.2	P13671
NP_004918.1	A0A024R578
NP_055020.1	Q9UHR6
NP_037397.2	Q9UID3
NP_001575.1	Q15777
NP_001728.1	P02748
NP_055021.1	P61165
NP_001120864.1	Q9Y2G1
NP_001365029.1	O15165
NP_006124.1	Q9Y4D2
NP_004330.1	P53801
NP_004919.1	O43822
NP_005883.3	O95466
NP_006125.2	P56557
NP_000058.1	P00918
NP_001122303.1	P00915
NP_001037835.1	O15442
NP_005172.1	P07451
NP_000708.1	P22748
NP_005173.1	P43166
NP_001730.1	P35218
NP_001206.2	P23280
NP_004047.3	P35219
NP_001209.1	O43570
NP_001208.2	O75493
NP_001207.2	A0A0S2Z3D0
NP_001120694.1	O00555
NP_001284583.1	A0A024RCL1
NP_000714.3	Q02641
NP_001122312.1	Q01668
NP_000709.1	Q00975
NP_001192222.1	Q15878
NP_000718.1	Q06432
NP_000717.2	O00305
NP_963890.2	Q08289
NP_000716.2	P54284
NP_000060.2	Q13698
NP_004048.1	P29377
NP_004920.1	P05937
NP_001732.1	P01258
NP_000378.1	O43772
NP_001731.2	A0A140VK08
NP_000719.1	P10092
NP_004332.2	P27708
NP_001733.1	A0A0C4DG16
NP_149129.2	Q05682
NP_001734.1	B4DJ51
NP_008819.1	B4DJ51
NP_005175.2	B4DJ51
NP_004334.1	P27797
NP_005176.1	P27482
NP_001210.1	O43852
NP_001735.1	Q16566
NP_057065.2	A8K161
NP_001211.3	A4D2J9
NP_001308500.1	E9PF82
NP_004336.4	A0A384NPR0
NP_001736.1	P49069
NP_001354463.1	H0Y6G2
NP_001738.2	P40121
NP_001737.1	P27824
NP_005177.2	P07384
NP_001740.1	P04632
NP_000061.1	P20807
NP_001739.3	P17655
NP_055104.2	Q9Y6Q1
NP_004049.3	A0A384NYV7
NP_006126.1	P52907
NP_006127.1	A4D0V4
NP_004921.1	A0A384MR50
NP_001244047.1	P29466
NP_116764.2	A0A0S2Z3H1
NP_004337.2	P42574
NP_001216.1	P49662
NP_001217.2	P55212
NP_001218.1	P55210
NP_004338.3	P51878
NP_001220.2	P55211
NP_001358980.1	Q14790
NP_116759.2	A0A0S2Z3Z5
NP_001222.3	P31415
NP_001223.2	O14958
NP_001743.1	A0A384P5Q0
NP_000379.3	P41180
NP_203123.1	P56539
NP_001744.2	Q03135
NP_001224.1	P51636
NP_001019801.3	Q13950
NP_004341.1	Q13761
NP_005178.4	O75081
NP_001747.3	P08185
NP_001226.2	A0A024R5K8
NP_004343.1	P23435
NP_005179.2	P22681
NP_733762.2	Q13191
NP_001227.1	O75828
NP_001748.1	A0A384NL53
NP_005884.2	Q13939
NP_000062.1	P35520
NP_000720.1	P06307
NP_004050.3	A8K563
NP_000721.1	P32238
NP_919436.1	A4D1F7
NP_795344.1	P32239
NP_001228.2	P20248
NP_005181.2	P24863
NP_001751.1	P30281
NP_001750.1	P30279
NP_114172.1	P14635
NP_004051.1	P51959
NP_001229.1	P24864
NP_001752.2	P41002
NP_001230.1	P51946
NP_004345.1	A0A024RDC7
NP_001231.2	O60563
NP_490595.1	O60583
NP_001754.2	P06126
NP_001755.1	P29016
NP_001753.1	A0A024RDL1
NP_001756.2	P29017
NP_001358691.1	P15813
NP_112155.2	P15812
NP_000723.1	B0YIY4
NP_001758.2	P06729
NP_000724.1	P07766
NP_000064.1	B0YIY5
NP_932170.1	P20963
NP_000607.1	A0A4Y5UGE4
NP_005885.1	O43866
NP_055022.2	P06127
NP_001759.3	P01732
NP_006716.3	P30203
NP_006128.1	P09564
NP_004922.1	P10966
NP_001336656.1	A6NJW9
NP_001760.1	P21926
NP_000582.1	P08571
NP_001761.3	P15391
NP_006129.4	Q96HJ5
NP_690605.1	A0A024R507
NP_001233.2	P26842
NP_006130.1	P10747
NP_001762.2	P20273
NP_005182.1	A0N0P2
NP_787058.5	P42081
NP_001234.3	P28908
NP_001235.1	P32971
NP_001020280.1	P28906
NP_001001548.1	A4D1B1
NP_001236.4	A0A024R4K4
NP_001763.3	P20138
NP_005496.4	A0A024RBS4
NP_001765.1	P11049
NP_001766.2	P28907
NP_982293.1	Q9Y5L3
NP_005497.1	A0A024RDG6
NP_001767.3	P49961
NP_001239.2	O75355
NP_001238.3	O75354
NP_001240.1	A0A024R6D3
NP_001241.1	A0A0S2Z3C7
NP_000065.1	P29965
NP_001768.1	Q08722
NP_001769.2	P09326
NP_000551.1	P19397
NP_000602.1	P13987
NP_001770.1	P19256
NP_001771.1	A0A024RB05
NP_001772.1	Q07108
NP_000601.3	P16070
NP_001242.2	P34810
NP_001243.1	A0A0U5JA32
NP_001773.1	P21854
NP_001020330.1	P04233
NP_001774.1	P11912
NP_000617.1	P40259
NP_004347.1	A0A024RCB7
NP_510966.1	P48960
NP_001776.1	P32320
NP_004348.2	A0A024RCB3
NP_001777.1	P06493
NP_001779.3	Q16181
NP_001244.1	Q99459
NP_001246.2	Q12834
NP_001245.1	A0A024R1S2
NP_001780.2	P30304
NP_004350.1	A0A024R1Z1
NP_001781.2	P30307
NP_068659.1	P30305
NP_001247.3	P30260
NP_001782.1	A0A024RAA5
NP_001783.2	A0A024RC42
NP_004351.1	A0A0U2ZQU7
NP_001785.2	P55283
NP_001784.2	P22223
NP_004923.1	P55285
NP_001786.2	P33151
NP_001788.2	P55287
NP_001787.2	P55286
NP_006718.2	Q9Y6N8
NP_004352.2	Q9ULB5
NP_057363.3	Q9ULB4
NP_004052.2	P55289
NP_001248.1	P55290
NP_004924.1	P55291
NP_004054.3	Q12864
NP_004053.1	O75309
NP_001249.1	Q00526
NP_001789.2	A0A024RB77
NP_000066.1	A0A024RBB6
NP_004926.1	A0A090N7W4
NP_004925.1	Q13634
NP_001138778.1	Q00534
NP_001790.1	A0A0S2Z3F9
NP_000380.1	A0A024RCX5
NP_001251.1	P49336
NP_004055.1	P46527
NP_001252.1	A0A024R880
NP_000068.1	K7PML8
NP_004927.2	K7PPU3
NP_523240.1	P42773
NP_001791.1	A0A024R796
NP_005183.2	Q16667
NP_001792.2	Q16878
NP_001793.1	Q01850
NP_001794.2	P31358
NP_001254.2	A0A024RDG8
NP_001256.4	Q99626
NP_001255.4	G8JLG2
NP_001795.2	P47902
NP_005184.1	O14627
NP_004353.1	A0A140VKG2
NP_004354.3	A0A024R0K5
NP_004355.2	P49715
NP_005185.2	P17676
NP_005186.2	P49716
NP_001797.1	P53567
NP_001796.2	Q15744
NP_001798.3	P19835
NP_001800.1	P49450
NP_001801.1	P07199
NP_001803.2	Q03188
NP_004356.2	O15182
NP_004335.1	P41208
NP_005498.1	P23528
NP_619579.1	Q549N0
NP_000069.2	A0A0S2Z3F6
NP_004057.1	A0A140VJG3
NP_001805.4	P53634
NP_000726.1	P01215
NP_001807.2	P31997
NP_000483.3	P13569
NP_000728.1	A0A0F7RQP8
NP_001806.2	P40198
NP_001808.2	O75871
NP_001258.2	O15335
NP_001259.1	O95199
NP_001368794.1	P18754
NP_065574.4	P28329
NP_001261.2	O14646
NP_001262.3	O14647
NP_001107594.1	O14757
NP_001809.4	P17516
NP_001266.1	P10645
NP_001267.2	A0A024R969
NP_001810.2	P05060
NP_003991.2	Q15782
NP_001005273.1	Q12873
NP_001268.2	P35790
NP_003456.1	Q13231
NP_001264.2	Q14839
NP_001813.1	P15882
NP_005189.2	A0A024R4X4
NP_001368782.1	P26374
NP_000381.1	P24386
NP_000729.2	P11229
NP_004058.1	A0A2X0TVW3
NP_001006631.1	A4D1Q0
NP_001362907.1	A0A024R3W1
NP_000732.2	P08173
NP_036257.1	A0A024R9I2
NP_000733.2	Q15822
NP_000734.2	P32297
NP_000735.1	P43681
NP_000738.2	P11230
NP_000739.1	P17787
NP_000737.1	P36544
NP_000736.2	P30532
NP_000741.1	P30926
NP_000740.1	Q05901
NP_000742.1	Q07001
NP_000070.1	Q53SH4
NP_000071.1	Q04844
NP_005190.4	A0A6F7YAP6
NP_001287758.1	D6W5Y5
NP_001270.1	O60543
NP_001814.2	P12277
NP_001272.2	Q99426
NP_001269.3	O15111
NP_659508.1	Q9NSE2
NP_001815.2	P06732
NP_001362413.1	P12532
NP_000073.1	Q13216
NP_001093205.1	A0A024RAK5
NP_001817.1	P61024
NP_004059.2	Q96CW1
NP_001818.1	P33552
NP_001274.1	A0A024QYT6
NP_004060.2	P53680
NP_001275.1	Q92572
NP_001819.2	Q05315
NP_001276.3	A8K7I4
NP_004357.3	P51788
NP_001820.2	P51790
NP_001121370.1	P51795
NP_001821.2	P51793
NP_001277.2	P51797
NP_001278.1	P51798
NP_001279.2	O00299
NP_000076.2	P51801
NP_001822.3	P10909
NP_004061.3	P51800
NP_001280.3	O15247
NP_004062.2	P49759
NP_000074.3	P35523
NP_001281267.1	A8K7I0
NP_000382.3	O14773
NP_001823.1	P04118
NP_001035897.1	A0A024QZB8
NP_006484.2	O75503
NP_001284.1	P54105
NP_001285.1	A0A0S2Z3H2
NP_009028.1	P09497
NP_001286.1	P32246
NP_001827.1	P23946
NP_001381712.1	P51681
NP_005499.1	A0N0Q1
NP_004850.1	Q00610
NP_847899.1	A1LPE5
NP_001829.1	A0N0Q0
NP_005192.1	P51685
NP_113597.2	P51684
NP_001287.2	A1LP82
NP_001137391.1	Q15722
NP_001135815.1	Q99788
NP_000383.2	Q92887
NP_001032406.1	Q8IV77
NP_001288.3	Q14028
NP_004359.1	Q99439
NP_001830.1	Q15417
NP_001290.2	P51911
NP_149124.3	P09543
NP_004064.2	Q9H4B4
NP_005131.1	Q16280
NP_057167.2	P21554
NP_001832.1	A0A024RAH7
NP_000605.1	P26441
NP_671693.1	P26992
NP_001289.1	Q16281
NP_001834.2	A0A024R104
NP_000080.2	P08123
NP_000081.2	P02461
NP_001835.3	P02458
NP_001836.3	P02462
NP_000082.2	Q01955
NP_000083.3	P53420
NP_001837.2	P08572
NP_000084.3	P20908
NP_001839.2	A0A384P5H7
NP_001840.3	A0A384MDP3
NP_001843.1	Q14055
NP_065084.2	P27658
NP_005193.1	P25067
NP_000384.2	P05997
NP_001844.3	Q14050
NP_001842.3	P20849
NP_000484.2	A0A650AXN9
NP_001845.3	P12107
NP_001355811.1	A0A2R8YGI3
NP_000086.2	P49747
NP_000745.1	A0A140VJG8
NP_001849.2	Q14993
NP_001846.3	P39059
NP_001291.3	Q99612
NP_000485.3	Q9UMD9
NP_001851.1	O15432
NP_001293.3	O00230
NP_001850.1	A0A024R824
NP_001137533.1	P53618
NP_001847.3	Q07092
NP_001852.1	P13073
NP_004362.2	P53621
NP_005196.1	Q02221
NP_001853.2	A0A384NL93
NP_001854.1	P14854
NP_005195.2	P41279
NP_004364.2	H6SG15
NP_004365.1	A0A024R9B7
NP_001855.1	P24310
NP_001353222.1	P14406
NP_001857.1	P24311
NP_001858.1	P15954
NP_004065.1	P10176
NP_001859.1	P15085
NP_001294.2	Q12887
NP_004366.1	Q9Y6N1
NP_001861.2	P15088
NP_001860.2	P48052
NP_510870.1	Q7KZN9
NP_001862.2	P15086
NP_001863.3	Q96IY4
NP_001864.1	A0A384N679
NP_001295.2	O75976
NP_001296.1	O14493
NP_001297.1	O15551
NP_001298.3	A0A384ME58
NP_938079.1	P14384
NP_001299.1	P15169
NP_001073982.3	P22792
NP_000088.3	P36551
NP_001867.2	A0A024R5F4
NP_689452.1	A0A024R4W7
NP_783641.1	Q2VPA4
NP_000089.1	A0A140VK13
NP_001866.2	P31327
NP_004369.1	F1T0F7
NP_001869.1	P29373
NP_004370.1	P16220
NP_000746.3	P43155
NP_001301.1	O60519
NP_001871.2	P15336
NP_004372.3	Q99941
NP_000747.1	A0A0S2Z478
NP_001873.2	P24387
NP_004371.2	Q92793
NP_001302.1	P50238
NP_001303.1	P52943
NP_001874.2	A0A090N7T4
NP_058431.2	A0A0S2Z3Q4
NP_005198.1	P46109
NP_000558.2	P02741
NP_001875.1	A0A024RAK9
NP_000545.1	O43186
NP_000385.1	P02489
NP_066940.3	A2I2P1
NP_001276737.1	P02511
NP_005199.2	P05813
NP_004066.1	A2I2P0
NP_476434.1	A0A024R429
NP_001877.1	A0A097PIJ6
NP_001014809.1	X5DNI1
NP_000487.1	P43320
NP_001878.1	P53674
NP_004067.1	P26998
NP_066269.1	A0A0X8GLL6
NP_060011.1	A0A140CTX8
NP_008822.2	A0A140CTX7
NP_005201.2	P07316
NP_055432.2	A0A0S2A4T3
NP_001363185.1	Q14894
NP_001880.2	Q08257
NP_004068.2	A0A024RB75
NP_620581.1	A0A024RD15
NP_001307.2	A0A384NKW7
NP_000749.2	P04141
NP_000748.4	P09603
NP_758448.1	P15509
NP_001275634.1	P07333
NP_001308.1	A8K6C2
NP_000386.1	P32927
NP_000751.1	Q99062
NP_001881.1	P47710
NP_072101.1	Q14406
NP_066271.1	A0A0M6L0F6
NP_757373.1	Q6FH65
NP_001381926.1	P07498
NP_001882.1	P05814
NP_004374.1	B2R6Q4
NP_001883.4	P48729
NP_689407.1	P49674
NP_001884.2	P48730
NP_001310.3	P78368
NP_001887.1	P19784
NP_001311.3	N0E4C7
NP_808227.1	P68400
NP_004069.1	A0A384P5K2
NP_001312.1	A0A024RBB5
NP_036272.2	A0A0S2Z382
NP_001889.2	P01037
NP_001888.2	Q6UVK1
NP_001313.1	P09228
NP_000090.1	A0A0K0K1J1
NP_001891.2	P28325
NP_001890.1	P01036
NP_005204.1	P01040
NP_001314.1	Q15828
NP_004377.2	O14594
NP_000091.1	P04080
NP_001315.1	Q05048
NP_001316.1	P33240
NP_001318.1	P78358
NP_004378.1	A0A0S2Z383
NP_004379.1	Q01459
NP_001321.1	Q16619
NP_001317.1	Q12996
NP_001892.2	P29279
NP_005205.2	P16410
NP_001893.2	P32929
NP_001894.2	A0A384MDY0
NP_004928.2	A0A0S2Z3K3
NP_001269526.1	P26232
NP_001895.1	A0A024R2Q3
NP_001078927.1	O60716
NP_001896.2	P17812
NP_001899.1	A0A024R374
NP_001898.1	A0A024R6Z5
NP_001897.4	P17538
NP_001900.1	P07339
NP_001323.1	Q9UQB3
NP_001902.1	P08311
NP_001901.1	P14091
NP_000387.1	P43235
NP_001903.1	A0A024R276
NP_001325.1	P43234
NP_001324.2	A0A024R141
NP_004381.2	P09668
NP_001326.3	P56202
NP_001327.2	Q9UBR2
NP_001328.1	P49238
NP_001329.1	P78310
NP_683725.1	A0A384ME44
NP_001906.3	P49447
NP_000092.2	P13498
NP_001577.1	O15482
NP_001907.3	P08574
NP_000388.2	A0A0S2Z3S6
NP_001331.1	A0A024R146
NP_853530.2	P39880
NP_001306146.1	A0N0X8
NP_066941.1	P35663
NP_004070.3	P25774
NP_000752.2	P05177
NP_000095.2	Q16678
NP_000753.3	P11509
NP_001365672.1	Q9NQC7
NP_000755.2	P20853
NP_000757.2	Q16696
NP_000756.3	P24462
NP_000758.1	P20813
NP_000761.3	P10632
NP_000763.1	P33260
NP_000762.2	P11712
NP_000765.2	P24903
NP_000097.3	C1ID52
NP_000764.1	P05181
NP_059488.2	P08684
NP_000766.2	P51589
NP_000768.1	P20815
