ENSGene,ENSProt
ENSG00000100139,ENSP00000215957
ENSG00000100162,ENSP00000215980
ENSG00000100206,ENSP00000216024
ENSG00000100209,ENSP00000216027
ENSG00000100216,ENSP00000216034
ENSG00000100218,ENSP00000216036
ENSG00000100220,ENSP00000216038
ENSG00000100226,ENSP00000216044
ENSG00000100246,ENSP00000216068
ENSG00000100253,ENSP00000216075
ENSG00000243811,ENSP00000216099
ENSG00000100276,ENSP00000216101
ENSG00000100281,ENSP00000216106
ENSG00000100290,ENSP00000216115
ENSG00000100292,ENSP00000216117
ENSG00000184117,ENSP00000216121
ENSG00000100297,ENSP00000216122
ENSG00000100299,ENSP00000216124
ENSG00000100302,ENSP00000216127
ENSG00000100304,ENSP00000216129
ENSG00000100307,ENSP00000216133
ENSG00000100324,ENSP00000216160
ENSG00000100344,ENSP00000216180
ENSG00000100345,ENSP00000216181
ENSG00000100348,ENSP00000216185
ENSG00000100353,ENSP00000216190
ENSG00000100373,ENSP00000216211
ENSG00000100380,ENSP00000216218
ENSG00000100385,ENSP00000216223
ENSG00000100387,ENSP00000216225
ENSG00000100395,ENSP00000216237
ENSG00000100410,ENSP00000216252
ENSG00000100412,ENSP00000216254
ENSG00000100417,ENSP00000216259
ENSG00000100422,ENSP00000216264
ENSG00000100429,ENSP00000216271
ENSG00000129465,ENSP00000216274
ENSG00000090060,ENSP00000216277
ENSG00000087303,ENSP00000216286
ENSG00000023608,ENSP00000216294
ENSG00000092201,ENSP00000216297
ENSG00000100448,ENSP00000216336
ENSG00000100450,ENSP00000216338
ENSG00000100453,ENSP00000216341
ENSG00000100479,ENSP00000216367
ENSG00000100485,ENSP00000216373
ENSG00000100504,ENSP00000216392
ENSG00000100522,ENSP00000216410
ENSG00000100528,ENSP00000216416
ENSG00000100532,ENSP00000216420
ENSG00000100554,ENSP00000216442
ENSG00000100558,ENSP00000216446
ENSG00000100564,ENSP00000216452
ENSG00000100567,ENSP00000216455
ENSG00000100591,ENSP00000216479
ENSG00000100596,ENSP00000216484
ENSG00000100599,ENSP00000216487
ENSG00000100601,ENSP00000216489
ENSG00000100604,ENSP00000216492
ENSG00000100625,ENSP00000216513
ENSG00000100652,ENSP00000216540
ENSG00000100664,ENSP00000216554
ENSG00000100739,ENSP00000216629
ENSG00000100749,ENSP00000216639
ENSG00000100823,ENSP00000216714
ENSG00000100836,ENSP00000216727
ENSG00000100865,ENSP00000216756
ENSG00000100889,ENSP00000216780
ENSG00000100906,ENSP00000216797
ENSG00000100911,ENSP00000216802
ENSG00000100916,ENSP00000216807
ENSG00000100941,ENSP00000216832
ENSG00000019186,ENSP00000216862
ENSG00000100994,ENSP00000216962
ENSG00000101000,ENSP00000216968
ENSG00000101057,ENSP00000217026
ENSG00000101115,ENSP00000217086
ENSG00000101138,ENSP00000217109
ENSG00000101160,ENSP00000217131
ENSG00000101162,ENSP00000217133
ENSG00000101197,ENSP00000217169
ENSG00000185019,ENSP00000217173
ENSG00000101210,ENSP00000217182
ENSG00000101266,ENSP00000217244
ENSG00000101282,ENSP00000217260
ENSG00000101311,ENSP00000217289
ENSG00000101391,ENSP00000217372
ENSG00000101400,ENSP00000217381
ENSG00000101405,ENSP00000217386
ENSG00000101421,ENSP00000217402
ENSG00000129988,ENSP00000217407
ENSG00000101438,ENSP00000217420
ENSG00000101441,ENSP00000217423
ENSG00000101444,ENSP00000217426
ENSG00000101464,ENSP00000217446
ENSG00000101473,ENSP00000217455
ENSG00000091164,ENSP00000217515
ENSG00000101695,ENSP00000217740
ENSG00000067829,ENSP00000217901
ENSG00000077713,ENSP00000217909
ENSG00000101843,ENSP00000217958
ENSG00000101856,ENSP00000217971
ENSG00000101890,ENSP00000218006
ENSG00000101958,ENSP00000218075
ENSG00000101981,ENSP00000218099
ENSG00000101986,ENSP00000218104
ENSG00000102057,ENSP00000218176
ENSG00000102109,ENSP00000218230
ENSG00000102128,ENSP00000218249
ENSG00000102218,ENSP00000218340
ENSG00000102265,ENSP00000218388
ENSG00000102393,ENSP00000218516
ENSG00000102539,ENSP00000218721
ENSG00000102683,ENSP00000218867
ENSG00000102837,ENSP00000219022
ENSG00000087245,ENSP00000219070
ENSG00000091651,ENSP00000219097
ENSG00000125149,ENSP00000219139
ENSG00000102879,ENSP00000219150
ENSG00000102891,ENSP00000219162
ENSG00000102898,ENSP00000219169
ENSG00000102924,ENSP00000219197
ENSG00000102931,ENSP00000219204
ENSG00000102934,ENSP00000219207
ENSG00000102962,ENSP00000219235
ENSG00000102967,ENSP00000219240
ENSG00000102970,ENSP00000219244
ENSG00000102978,ENSP00000219252
ENSG00000103005,ENSP00000219281
ENSG00000103024,ENSP00000219302
ENSG00000103035,ENSP00000219313
ENSG00000103037,ENSP00000219315
ENSG00000103056,ENSP00000219334
ENSG00000103089,ENSP00000219368
ENSG00000103121,ENSP00000219400
ENSG00000185615,ENSP00000219406
ENSG00000242173,ENSP00000219409
ENSG00000103197,ENSP00000219476
ENSG00000103202,ENSP00000219479
ENSG00000103266,ENSP00000219548
ENSG00000103313,ENSP00000219596
ENSG00000103375,ENSP00000219660
ENSG00000103460,ENSP00000219746
ENSG00000103502,ENSP00000219789
ENSG00000103653,ENSP00000220003
ENSG00000103707,ENSP00000220058
ENSG00000103811,ENSP00000220166
ENSG00000103966,ENSP00000220325
ENSG00000104112,ENSP00000220478
ENSG00000104129,ENSP00000220496
ENSG00000104142,ENSP00000220509
ENSG00000104147,ENSP00000220514
ENSG00000012232,ENSP00000220562
ENSG00000123908,ENSP00000220592
ENSG00000076641,ENSP00000220597
ENSG00000042832,ENSP00000220616
ENSG00000104221,ENSP00000220659
ENSG00000104231,ENSP00000220669
ENSG00000104312,ENSP00000220751
ENSG00000104325,ENSP00000220764
ENSG00000104332,ENSP00000220772
ENSG00000104368,ENSP00000220809
ENSG00000104371,ENSP00000220812
ENSG00000104381,ENSP00000220822
ENSG00000104408,ENSP00000220849
ENSG00000104412,ENSP00000220853
ENSG00000104472,ENSP00000220913
ENSG00000104643,ENSP00000221086
ENSG00000104671,ENSP00000221114
ENSG00000104687,ENSP00000221130
ENSG00000104689,ENSP00000221132
ENSG00000104695,ENSP00000221138
ENSG00000104722,ENSP00000221166
ENSG00000104756,ENSP00000221200
ENSG00000077348,ENSP00000221233
ENSG00000006712,ENSP00000221265
ENSG00000104804,ENSP00000221399
ENSG00000104808,ENSP00000221403
ENSG00000104823,ENSP00000221418
ENSG00000104824,ENSP00000221419
ENSG00000104848,ENSP00000221444
ENSG00000104856,ENSP00000221452
ENSG00000104859,ENSP00000221455
ENSG00000104863,ENSP00000221459
ENSG00000104866,ENSP00000221462
ENSG00000104879,ENSP00000221476
ENSG00000104883,ENSP00000221480
ENSG00000104888,ENSP00000221485
ENSG00000104889,ENSP00000221486
ENSG00000104897,ENSP00000221494
ENSG00000104899,ENSP00000221496
ENSG00000104901,ENSP00000221498
ENSG00000104918,ENSP00000221515
ENSG00000104941,ENSP00000221538
ENSG00000104946,ENSP00000221543
ENSG00000104969,ENSP00000221566
ENSG00000104976,ENSP00000221573
ENSG00000179943,ENSP00000221665
ENSG00000186115,ENSP00000221700
ENSG00000105198,ENSP00000221797
ENSG00000105202,ENSP00000221801
ENSG00000105205,ENSP00000221804
ENSG00000105246,ENSP00000221847
ENSG00000105258,ENSP00000221859
ENSG00000105290,ENSP00000221891
ENSG00000105321,ENSP00000221922
ENSG00000105329,ENSP00000221930
ENSG00000105355,ENSP00000221957
ENSG00000105369,ENSP00000221972
ENSG00000105376,ENSP00000221980
ENSG00000105388,ENSP00000221992
ENSG00000105392,ENSP00000221996
ENSG00000105398,ENSP00000222002
ENSG00000105401,ENSP00000222005
ENSG00000105404,ENSP00000222008
ENSG00000105427,ENSP00000222032
ENSG00000105428,ENSP00000222033
ENSG00000187266,ENSP00000222139
ENSG00000105538,ENSP00000222145
ENSG00000105612,ENSP00000222219
ENSG00000105640,ENSP00000222247
ENSG00000105641,ENSP00000222248
ENSG00000105647,ENSP00000222254
ENSG00000105649,ENSP00000222256
ENSG00000105664,ENSP00000222271
ENSG00000105677,ENSP00000222284
ENSG00000105698,ENSP00000222305
ENSG00000105723,ENSP00000222330
ENSG00000105767,ENSP00000222374
ENSG00000005421,ENSP00000222381
ENSG00000019991,ENSP00000222390
ENSG00000091136,ENSP00000222399
ENSG00000078967,ENSP00000222402
ENSG00000158516,ENSP00000222481
ENSG00000128510,ENSP00000222482
ENSG00000105793,ENSP00000222511
ENSG00000105825,ENSP00000222543
ENSG00000105829,ENSP00000222547
ENSG00000105835,ENSP00000222553
ENSG00000105849,ENSP00000222567
ENSG00000105855,ENSP00000222573
ENSG00000105856,ENSP00000222574
ENSG00000105926,ENSP00000222644
ENSG00000105954,ENSP00000222674
ENSG00000105971,ENSP00000222693
ENSG00000106003,ENSP00000222725
ENSG00000106004,ENSP00000222726
ENSG00000106006,ENSP00000222728
ENSG00000106025,ENSP00000222747
ENSG00000106089,ENSP00000222812
ENSG00000106100,ENSP00000222823
ENSG00000106244,ENSP00000222968
ENSG00000106258,ENSP00000222982
ENSG00000106266,ENSP00000222990
ENSG00000106299,ENSP00000223023
ENSG00000106305,ENSP00000223029
ENSG00000106333,ENSP00000223061
ENSG00000106344,ENSP00000223073
ENSG00000106366,ENSP00000223095
ENSG00000106384,ENSP00000223114
ENSG00000106397,ENSP00000223127
ENSG00000106399,ENSP00000223129
ENSG00000214253,ENSP00000223136
ENSG00000106415,ENSP00000223145
ENSG00000106477,ENSP00000223208
ENSG00000106484,ENSP00000223215
ENSG00000241127,ENSP00000223273
ENSG00000106588,ENSP00000223321
ENSG00000106591,ENSP00000223324
ENSG00000106631,ENSP00000223364
ENSG00000106636,ENSP00000223369
ENSG00000106665,ENSP00000223398
ENSG00000086065,ENSP00000223500
ENSG00000106803,ENSP00000223641
ENSG00000106804,ENSP00000223642
ENSG00000106952,ENSP00000223795
ENSG00000107018,ENSP00000223862
ENSG00000107020,ENSP00000223864
ENSG00000107223,ENSP00000224073
ENSG00000107290,ENSP00000224140
ENSG00000095585,ENSP00000224337
ENSG00000095596,ENSP00000224356
ENSG00000107736,ENSP00000224721
ENSG00000107796,ENSP00000224784
ENSG00000107960,ENSP00000224950
ENSG00000108176,ENSP00000225171
ENSG00000108179,ENSP00000225174
ENSG00000005381,ENSP00000225275
ENSG00000070731,ENSP00000225276
ENSG00000005100,ENSP00000225296
ENSG00000011260,ENSP00000225298
ENSG00000083454,ENSP00000225328
ENSG00000121053,ENSP00000225371
ENSG00000108255,ENSP00000225387
ENSG00000108256,ENSP00000225388
ENSG00000108298,ENSP00000225430
ENSG00000213246,ENSP00000225504
ENSG00000108379,ENSP00000225512
ENSG00000197417,ENSP00000225519
ENSG00000213977,ENSP00000225525
ENSG00000108405,ENSP00000225538
ENSG00000108443,ENSP00000225577
ENSG00000108474,ENSP00000225609
ENSG00000108518,ENSP00000225655
ENSG00000108551,ENSP00000225688
ENSG00000108561,ENSP00000225698
ENSG00000108582,ENSP00000225719
ENSG00000108588,ENSP00000225726
ENSG00000108590,ENSP00000225728
ENSG00000108591,ENSP00000225729
ENSG00000108599,ENSP00000225737
ENSG00000108654,ENSP00000225792
ENSG00000108684,ENSP00000225823
ENSG00000108691,ENSP00000225831
ENSG00000108702,ENSP00000225842
ENSG00000181374,ENSP00000225844
ENSG00000108773,ENSP00000225916
ENSG00000108784,ENSP00000225927
ENSG00000108798,ENSP00000225941
ENSG00000108821,ENSP00000225964
ENSG00000108826,ENSP00000225969
ENSG00000108878,ENSP00000226021
ENSG00000108947,ENSP00000226091
ENSG00000108961,ENSP00000226105
ENSG00000109047,ENSP00000226193
ENSG00000109072,ENSP00000226218
ENSG00000109079,ENSP00000226225
ENSG00000109084,ENSP00000226230
ENSG00000004468,ENSP00000226279
ENSG00000029559,ENSP00000226284
ENSG00000002549,ENSP00000226299
ENSG00000124875,ENSP00000226317
ENSG00000077684,ENSP00000226319
ENSG00000109132,ENSP00000226382
ENSG00000109163,ENSP00000226413
ENSG00000109193,ENSP00000226444
ENSG00000109272,ENSP00000226524
ENSG00000109320,ENSP00000226574
ENSG00000109471,ENSP00000226730
ENSG00000109501,ENSP00000226760
ENSG00000109534,ENSP00000226796
ENSG00000109536,ENSP00000226798
ENSG00000085117,ENSP00000227155
ENSG00000109861,ENSP00000227266
ENSG00000109917,ENSP00000227322
ENSG00000109943,ENSP00000227348
ENSG00000110042,ENSP00000227451
ENSG00000110057,ENSP00000227471
ENSG00000110060,ENSP00000227474
ENSG00000110092,ENSP00000227507
ENSG00000110104,ENSP00000227520
ENSG00000110107,ENSP00000227524
ENSG00000110108,ENSP00000227525
ENSG00000110218,ENSP00000227638
ENSG00000110245,ENSP00000227667
ENSG00000110324,ENSP00000227752
ENSG00000110435,ENSP00000227868
ENSG00000110484,ENSP00000227918
ENSG00000062282,ENSP00000228027
ENSG00000060138,ENSP00000228251
ENSG00000075415,ENSP00000228318
ENSG00000013503,ENSP00000228347
ENSG00000110848,ENSP00000228434
ENSG00000110851,ENSP00000228437
ENSG00000110852,ENSP00000228438
ENSG00000110887,ENSP00000228476
ENSG00000110906,ENSP00000228495
ENSG00000110917,ENSP00000228506
ENSG00000110921,ENSP00000228510
ENSG00000110925,ENSP00000228515
ENSG00000110944,ENSP00000228534
ENSG00000110975,ENSP00000228567
ENSG00000111012,ENSP00000228606
ENSG00000111046,ENSP00000228641
ENSG00000111049,ENSP00000228644
ENSG00000111087,ENSP00000228682
ENSG00000111144,ENSP00000228740
ENSG00000111145,ENSP00000228741
ENSG00000111203,ENSP00000228799
ENSG00000111224,ENSP00000228820
ENSG00000111229,ENSP00000228825
ENSG00000111241,ENSP00000228837
ENSG00000111245,ENSP00000228841
ENSG00000111254,ENSP00000228850
ENSG00000111276,ENSP00000228872
ENSG00000111291,ENSP00000228887
ENSG00000111321,ENSP00000228918
ENSG00000111331,ENSP00000228928
ENSG00000111348,ENSP00000228945
ENSG00000111432,ENSP00000229030
ENSG00000111536,ENSP00000229134
ENSG00000111537,ENSP00000229135
ENSG00000111581,ENSP00000229179
ENSG00000111596,ENSP00000229195
ENSG00000111615,ENSP00000229214
ENSG00000111639,ENSP00000229238
ENSG00000111664,ENSP00000229264
ENSG00000111667,ENSP00000229268
ENSG00000111678,ENSP00000229281
ENSG00000111701,ENSP00000229304
ENSG00000111704,ENSP00000229307
ENSG00000111727,ENSP00000229330
ENSG00000111729,ENSP00000229332
ENSG00000111732,ENSP00000229335
ENSG00000111737,ENSP00000229340
ENSG00000111775,ENSP00000229379
ENSG00000111786,ENSP00000229390
ENSG00000111790,ENSP00000229395
ENSG00000111796,ENSP00000229402
ENSG00000111834,ENSP00000229554
ENSG00000111875,ENSP00000229595
ENSG00000111981,ENSP00000229708
ENSG00000204385,ENSP00000229729
ENSG00000112029,ENSP00000229758
ENSG00000112039,ENSP00000229769
ENSG00000112041,ENSP00000229771
ENSG00000112079,ENSP00000229812
ENSG00000204252,ENSP00000229829
ENSG00000112186,ENSP00000229922
ENSG00000112293,ENSP00000230036
ENSG00000112304,ENSP00000230048
ENSG00000112306,ENSP00000230050
ENSG00000112309,ENSP00000230053
ENSG00000112312,ENSP00000230056
ENSG00000112335,ENSP00000230085
ENSG00000112367,ENSP00000230124
ENSG00000112559,ENSP00000230321
ENSG00000112578,ENSP00000230340
ENSG00000112599,ENSP00000230361
ENSG00000112619,ENSP00000230381
ENSG00000112685,ENSP00000230449
ENSG00000112697,ENSP00000230461
ENSG00000112769,ENSP00000230538
ENSG00000112812,ENSP00000230582
ENSG00000112818,ENSP00000230588
ENSG00000039123,ENSP00000230640
ENSG00000016082,ENSP00000230658
ENSG00000011083,ENSP00000230671
ENSG00000112874,ENSP00000230792
ENSG00000113070,ENSP00000230990
ENSG00000113083,ENSP00000231004
ENSG00000113088,ENSP00000231009
ENSG00000113100,ENSP00000231021
ENSG00000113140,ENSP00000231061
ENSG00000113196,ENSP00000231121
ENSG00000113302,ENSP00000231228
ENSG00000113312,ENSP00000231238
ENSG00000113441,ENSP00000231368
ENSG00000113492,ENSP00000231420
ENSG00000113520,ENSP00000231449
ENSG00000113525,ENSP00000231454
ENSG00000113532,ENSP00000231461
ENSG00000113558,ENSP00000231487
ENSG00000113569,ENSP00000231498
ENSG00000113595,ENSP00000231524
ENSG00000113643,ENSP00000231572
ENSG00000010319,ENSP00000231721
ENSG00000004838,ENSP00000231749
ENSG00000012223,ENSP00000231751
ENSG00000076242,ENSP00000231790
ENSG00000113790,ENSP00000231887
ENSG00000113851,ENSP00000231948
ENSG00000113905,ENSP00000232003
ENSG00000114113,ENSP00000232217
ENSG00000114268,ENSP00000232375
ENSG00000114315,ENSP00000232424
ENSG00000114349,ENSP00000232461
ENSG00000114383,ENSP00000232496
ENSG00000114388,ENSP00000232501
ENSG00000114450,ENSP00000232564
ENSG00000114487,ENSP00000232603
ENSG00000114491,ENSP00000232607
ENSG00000114626,ENSP00000232744
ENSG00000114648,ENSP00000232766
ENSG00000114767,ENSP00000232888
ENSG00000114771,ENSP00000232892
ENSG00000114784,ENSP00000232905
ENSG00000114854,ENSP00000232975
ENSG00000055332,ENSP00000233057
ENSG00000071626,ENSP00000233078
ENSG00000008869,ENSP00000233099
ENSG00000084764,ENSP00000233121
ENSG00000034510,ENSP00000233143
ENSG00000095002,ENSP00000233146
ENSG00000071051,ENSP00000233154
ENSG00000003436,ENSP00000233156
ENSG00000084674,ENSP00000233242
ENSG00000115274,ENSP00000233331
ENSG00000114999,ENSP00000233336
ENSG00000115128,ENSP00000233468
ENSG00000115234,ENSP00000233575
ENSG00000115255,ENSP00000233596
ENSG00000239779,ENSP00000233615
ENSG00000115286,ENSP00000233627
ENSG00000115289,ENSP00000233630
ENSG00000115297,ENSP00000233638
ENSG00000115325,ENSP00000233668
ENSG00000115361,ENSP00000233710
ENSG00000115386,ENSP00000233735
ENSG00000115457,ENSP00000233809
ENSG00000115461,ENSP00000233813
ENSG00000115486,ENSP00000233838
ENSG00000115541,ENSP00000233893
ENSG00000115596,ENSP00000233948
ENSG00000115602,ENSP00000233954
ENSG00000115616,ENSP00000233969
ENSG00000172232,ENSP00000233997
ENSG00000115685,ENSP00000234038
ENSG00000115718,ENSP00000234071
ENSG00000115758,ENSP00000234111
ENSG00000115806,ENSP00000234160
ENSG00000115816,ENSP00000234170
ENSG00000115844,ENSP00000234198
ENSG00000115902,ENSP00000234256
ENSG00000115942,ENSP00000234296
ENSG00000221823,ENSP00000234310
ENSG00000115956,ENSP00000234313
ENSG00000196415,ENSP00000234347
ENSG00000116014,ENSP00000234371
ENSG00000116032,ENSP00000234389
ENSG00000116039,ENSP00000234396
ENSG00000116062,ENSP00000234420
ENSG00000116095,ENSP00000234453
ENSG00000116096,ENSP00000234454
ENSG00000011021,ENSP00000234488
ENSG00000116128,ENSP00000234739
ENSG00000116194,ENSP00000234816
ENSG00000116329,ENSP00000234961
ENSG00000116455,ENSP00000235090
ENSG00000116691,ENSP00000235332
ENSG00000116704,ENSP00000235345
ENSG00000187545,ENSP00000235347
ENSG00000243073,ENSP00000235349
ENSG00000116741,ENSP00000235382
ENSG00000116874,ENSP00000235521
ENSG00000116981,ENSP00000235628
